NAME,total_housing_units,built_2020_or_later,built_2010_to_2019,built_2000_to_2009,built_1990_to_1999,built_1980_to_1989,built_1970_to_1979,built_1960_to_1969,built_1950_to_1959,built_1940_to_1949,median_year_year_built,state,county
"Wibaux County, Montana",596,9,33,65,51,58,66,48,34,41,1967,30,109
"Yellowstone County, Montana",73363,1604,9405,9137,9381,8470,12550,5794,7954,3460,1982,30,111
"Adams County, Nebraska",13856,63,805,1023,1134,984,2236,1571,1616,1249,1966,31,001
"Antelope County, Nebraska",3144,4,119,161,174,299,517,295,318,212,1960,31,003
"Arthur County, Nebraska",230,0,25,20,21,19,32,10,20,15,1971,31,005
"Banner County, Nebraska",351,2,13,15,18,49,38,14,75,25,1956,31,007
"Blaine County, Nebraska",295,0,11,21,29,14,50,20,34,19,1959,31,009
"Boone County, Nebraska",2545,0,105,86,249,159,319,266,140,123,1954,31,011
"Box Butte County, Nebraska",5222,52,163,342,268,401,1199,469,505,492,1966,31,013
"Boyd County, Nebraska",1199,0,17,23,99,121,100,123,118,42,1950,31,015
"Brown County, Nebraska",1645,0,34,38,101,152,362,174,125,194,1962,31,017
"Buffalo County, Nebraska",21181,178,2314,2632,3090,2090,3934,1828,1350,689,1979,31,019
"Burt County, Nebraska",3338,26,157,184,222,272,500,226,231,195,1956,31,021
"Butler County, Nebraska",4031,42,175,367,257,480,625,347,187,159,1968,31,023
"Cass County, Nebraska",11780,144,715,1529,1577,1287,2160,1053,702,316,1977,31,025
"Cedar County, Nebraska",3904,12,142,395,275,346,484,387,326,237,1962,31,027
"Chase County, Nebraska",1870,5,88,57,125,202,544,101,137,113,1972,31,029
"Cherry County, Nebraska",3004,0,147,303,297,335,396,349,330,264,1969,31,031
"Cheyenne County, Nebraska",4886,0,232,403,405,265,488,348,1091,432,1957,31,033
"Clay County, Nebraska",2816,11,54,237,166,150,491,240,177,219,1957,31,035
"Colfax County, Nebraska",3996,7,179,308,393,385,757,382,445,297,1970,31,037
"Cuming County, Nebraska",4150,26,202,226,383,305,601,395,474,322,1962,31,039
"Custer County, Nebraska",5331,40,235,405,401,321,777,368,527,246,1958,31,041
"Dakota County, Nebraska",7795,109,382,585,1141,690,1714,682,811,504,1974,31,043
"Dawes County, Nebraska",4013,22,87,208,167,402,660,246,526,320,1956,31,045
"Dawson County, Nebraska",9905,82,287,794,914,1035,1637,1322,972,679,1968,31,047
"Deuel County, Nebraska",1000,0,15,21,50,17,75,95,194,108,1947,31,049
"Dixon County, Nebraska",2528,9,100,111,147,169,451,141,144,237,1951,31,051
"Dodge County, Nebraska",16553,208,783,1499,1388,895,2507,2312,2319,1025,1966,31,053
"Douglas County, Nebraska",248692,2649,26229,30855,27150,24569,34104,31076,23173,9267,1976,31,055
"Dundy County, Nebraska",1002,0,33,28,89,57,129,103,93,110,1953,31,057
"Fillmore County, Nebraska",2733,11,123,137,124,211,397,316,293,124,1958,31,059
"Franklin County, Nebraska",1543,26,13,31,58,88,180,153,130,129,1943,31,061
"Frontier County, Nebraska",1372,11,37,50,82,118,223,106,106,82,1954,31,063
"Furnas County, Nebraska",2514,15,100,67,93,119,316,238,229,191,1946,31,065
"Gage County, Nebraska",10390,32,351,774,864,660,1457,1257,1008,581,1962,31,067
"Garden County, Nebraska",1163,0,1,108,86,102,113,66,146,109,1953,31,069
"Garfield County, Nebraska",977,0,107,48,125,99,155,11,111,19,1973,31,071
"Gosper County, Nebraska",1209,16,66,89,87,144,289,110,141,61,1973,31,073
"Grant County, Nebraska",418,0,32,29,18,32,24,79,38,34,1961,31,075
"Greeley County, Nebraska",1202,0,33,60,88,121,116,88,80,50,1947,31,077
"Hall County, Nebraska",25377,185,2324,1966,2519,3281,4575,3018,2808,1045,1975,31,079
"Hamilton County, Nebraska",4122,8,365,297,446,299,825,389,202,148,1972,31,081
"Harlan County, Nebraska",1890,32,138,142,84,243,236,194,215,101,1966,31,083
"Hayes County, Nebraska",479,0,8,22,39,24,30,56,42,37,1945,31,085
"Hitchcock County, Nebraska",1566,0,25,10,91,107,271,139,194,144,1953,31,087
"Holt County, Nebraska",4905,10,301,251,280,451,945,507,558,308,1966,31,089
"Hooker County, Nebraska",415,0,18,19,48,14,56,48,49,12,1959,31,091
"Howard County, Nebraska",2893,15,213,132,352,220,440,181,234,117,1966,31,093
"Jefferson County, Nebraska",3664,6,80,156,234,155,544,329,309,318,1949,31,095
"Johnson County, Nebraska",2090,6,42,177,108,96,300,168,210,53,1953,31,097
"Kearney County, Nebraska",2985,25,121,159,174,115,674,346,443,127,1964,31,099
"Keith County, Nebraska",5395,21,235,533,413,606,1387,615,537,283,1974,31,101
"Keya Paha County, Nebraska",495,5,42,78,22,59,29,41,26,21,1967,31,103
"Kimball County, Nebraska",1812,0,25,90,64,72,199,204,363,212,1953,31,105
"Knox County, Nebraska",4527,25,364,196,509,275,711,459,364,185,1966,31,107
"Lancaster County, Nebraska",138232,1567,16912,20100,18893,13536,20294,12171,13271,4269,1981,31,109
"Lincoln County, Nebraska",16581,165,713,1155,1233,1489,3416,1675,2433,1259,1969,31,111
"Logan County, Nebraska",356,0,21,24,12,12,53,51,41,6,1959,31,113
"Loup County, Nebraska",429,0,77,54,53,29,56,15,32,23,1980,31,115
"McPherson County, Nebraska",259,0,7,9,9,15,43,35,40,29,1957,31,117
"Madison County, Nebraska",15371,277,819,1224,1621,2047,2709,1567,1110,605,1974,31,119
"Merrick County, Nebraska",3584,46,279,246,355,181,630,309,160,166,1968,31,121
"Morrill County, Nebraska",2276,0,67,64,103,109,511,239,203,174,1958,31,123
"Nance County, Nebraska",1622,7,85,87,72,65,177,137,183,98,1950,31,125
"Nemaha County, Nebraska",3317,2,112,175,235,181,448,361,280,160,1955,31,127
"Nuckolls County, Nebraska",2218,2,39,102,123,134,215,209,222,241,1947,31,129
"Otoe County, Nebraska",6987,46,382,1063,553,444,817,635,483,399,1967,31,131
"Pawnee County, Nebraska",1410,10,66,71,38,54,195,149,64,111,1945,31,133
"Perkins County, Nebraska",1353,4,26,39,65,108,199,94,163,196,1951,31,135
"Phelps County, Nebraska",4154,53,132,320,363,432,558,539,450,365,1966,31,137
"Pierce County, Nebraska",3137,0,126,176,318,217,441,262,299,247,1959,31,139
"Platte County, Nebraska",14210,159,1086,1115,1363,1501,2519,1798,1619,815,1973,31,141
"Polk County, Nebraska",2524,2,102,147,191,127,486,304,163,161,1963,31,143
"Red Willow County, Nebraska",5164,26,151,260,333,403,694,681,549,502,1959,31,145
"Richardson County, Nebraska",4084,0,100,122,212,136,555,367,412,294,1945,31,147
"Rock County, Nebraska",829,4,30,22,57,95,173,98,154,47,1967,31,149
"Saline County, Nebraska",5774,65,200,335,432,447,1037,676,466,308,1965,31,151
"Sarpy County, Nebraska",75293,1994,12730,17251,11229,9183,9798,6917,2999,1221,1995,31,153
"Saunders County, Nebraska",10154,145,836,1222,1085,373,1973,982,626,327,1973,31,155
"Scotts Bluff County, Nebraska",16474,34,782,1117,1075,1205,3625,2318,2082,1299,1968,31,157
"Seward County, Nebraska",7138,55,408,756,779,492,1116,738,562,358,1970,31,159
"Sheridan County, Nebraska",2704,0,48,83,120,147,346,261,356,229,1950,31,161
"Sherman County, Nebraska",1797,9,102,134,139,126,287,126,114,92,1962,31,163
"Sioux County, Nebraska",682,11,44,25,52,47,85,33,66,42,1953,31,165
"Stanton County, Nebraska",2475,3,136,205,250,290,385,232,234,92,1971,31,167
"Thayer County, Nebraska",2518,6,54,87,155,136,358,234,288,154,1952,31,169
"Thomas County, Nebraska",367,5,15,19,20,59,40,14,39,24,1957,31,171
"Thurston County, Nebraska",2290,10,176,166,155,219,446,243,243,128,1971,31,173
"Valley County, Nebraska",2116,22,101,171,79,113,216,260,166,176,1954,31,175
"Washington County, Nebraska",8665,48,574,1140,1596,672,1326,641,567,212,1978,31,177
"Wayne County, Nebraska",3973,7,405,427,246,265,534,367,508,182,1967,31,179
"Webster County, Nebraska",1767,6,42,101,94,110,198,182,157,80,1950,31,181
"Wheeler County, Nebraska",603,1,34,53,49,51,168,25,39,57,1973,31,183
"York County, Nebraska",6346,33,368,301,546,437,1128,619,504,281,1964,31,185
"Churchill County, Nevada",10924,163,485,1603,2689,2086,1650,792,548,256,1987,32,001
"Clark County, Nevada",935960,17353,115347,269186,239100,128148,94532,43608,19115,5712,1997,32,003
"Douglas County, Nevada",24599,253,1419,4969,5833,4363,5387,1618,318,207,1990,32,005
"Elko County, Nevada",22033,334,2708,2697,4757,5397,2345,1220,664,572,1989,32,007
"Esmeralda County, Nevada",727,2,17,209,132,97,123,14,57,30,1990,32,009
"Eureka County, Nevada",1020,8,163,170,52,173,211,69,60,0,1983,32,011
"Humboldt County, Nevada",7714,76,752,1048,1996,1302,1156,301,291,357,1990,32,013
"Lander County, Nevada",2797,53,357,277,699,561,321,322,58,18,1990,32,015
"Lincoln County, Nevada",2322,0,240,270,309,393,297,74,229,194,1981,32,017
"Lyon County, Nevada",24998,467,2209,7939,5201,3197,3175,1124,883,331,1996,32,019
"Mineral County, Nevada",2202,9,38,77,219,467,441,453,219,97,1973,32,021
"Nye County, Nevada",25186,419,1884,8419,7758,3192,1862,817,234,145,1998,32,023
"Pershing County, Nevada",2293,0,81,159,707,526,324,215,81,48,1986,32,027
"Storey County, Nevada",2112,7,161,332,467,337,300,129,45,0,1987,32,029
"Washoe County, Nevada",213392,5166,23497,42445,34860,30712,38913,17800,10109,5222,1990,32,031
"White Pine County, Nevada",4157,0,195,348,554,461,555,351,460,221,1971,32,033
"Carson City, Nevada",24902,283,958,2635,5034,3721,7738,2618,1047,230,1980,32,510
"Belknap County, New Hampshire",38718,261,2431,5793,3673,6702,5690,3367,2837,1521,1979,33,001
"Carroll County, New Hampshire",40110,186,2212,5583,4026,9403,5522,3707,2040,1315,1981,33,003
"Cheshire County, New Hampshire",35777,141,1767,3653,2829,5376,4998,3224,2695,1306,1972,33,005
"Coos County, New Hampshire",20589,82,739,2006,1842,2770,2746,1320,2019,838,1969,33,007
"Grafton County, New Hampshire",51478,468,2878,6491,5034,11063,6747,3684,2523,1803,1980,33,009
"Hillsborough County, New Hampshire",176753,883,9537,16890,18501,35623,27106,16196,12824,6372,1977,33,011
"Merrimack County, New Hampshire",66080,364,4025,7814,6548,11447,9172,4649,3223,2458,1977,33,013
"Rockingham County, New Hampshire",136681,1405,11312,16994,16087,27916,20670,11256,9008,4008,1982,33,015
"Strafford County, New Hampshire",56162,629,4329,7312,5035,9417,7004,4588,4745,1792,1978,33,017
"Sullivan County, New Hampshire",21905,54,787,1742,2129,3819,3833,1642,1628,929,1974,33,019
"Atlantic County, New Jersey",132102,947,7091,18615,12605,21381,16671,15558,13684,5935,1977,34,001
"Bergen County, New Jersey",368535,2486,18587,21455,20951,30051,34504,51957,77527,39338,1959,34,003
"Burlington County, New Jersey",185617,1545,8842,20723,25939,25124,32465,25356,20311,5513,1977,34,005
"Camden County, New Jersey",213188,1097,6811,12814,16633,23059,34268,32493,34007,14558,1966,34,007
"Cape May County, New Jersey",99625,996,6668,15407,9626,17214,13746,9389,9406,3911,1980,34,009
"Cumberland County, New Jersey",57203,173,2142,5744,4841,5452,9023,7385,8937,4075,1968,34,011
"Essex County, New Jersey",335550,1198,16373,25190,19278,22041,30559,42770,48799,31704,1958,34,013
"Gloucester County, New Jersey",117530,532,7961,17374,14606,16673,18256,12511,12931,5116,1979,34,015
"Hudson County, New Jersey",317032,3377,35471,33243,21035,22217,28148,29843,28852,20377,1965,34,017
"Hunterdon County, New Jersey",51908,172,1615,5195,7782,10400,7255,4659,4005,1859,1979,34,019
"Mercer County, New Jersey",150600,691,7270,12763,12515,18569,17911,19579,23162,9560,1967,34,021
"Middlesex County, New Jersey",316633,1744,20101,27554,32181,51121,37063,47041,48834,17314,1973,34,023
"Monmouth County, New Jersey",269728,1508,15661,25378,30407,42506,35579,37659,33268,11268,1975,34,025
"Morris County, New Jersey",198611,1180,9549,15064,22817,25798,27577,31165,29537,12124,1971,34,027
"Ocean County, New Jersey",295201,2214,26155,39057,35372,48028,58320,38659,26349,8765,1981,34,029
"Passaic County, New Jersey",185439,747,5963,10329,10004,13275,16265,23328,32575,20764,1956,34,031
"Salem County, New Jersey",27740,61,738,1836,2324,2432,4163,3544,4679,2145,1963,34,033
"Somerset County, New Jersey",132831,762,7604,13047,22567,26631,12405,16868,13797,6325,1982,34,035
"Sussex County, New Jersey",62825,200,1257,6071,5561,9158,12155,7906,8172,3491,1972,34,037
"Union County, New Jersey",211269,1561,10611,11656,8749,10641,16491,27041,47380,26199,1956,34,039
"Warren County, New Jersey",46675,157,1440,5177,5975,5693,6289,4491,4397,2523,1972,34,041
"Bernalillo County, New Mexico",301278,2177,20034,47157,43884,44023,56745,29664,35565,12202,1982,35,001
"Catron County, New Mexico",3333,9,114,514,574,806,539,175,174,182,1984,35,003
"Chaves County, New Mexico",26794,139,1106,1677,3132,3518,4564,3911,5383,1731,1972,35,005
"Cibola County, New Mexico",11171,56,529,1134,1920,1410,2869,1249,947,328,1978,35,006
"Colfax County, New Mexico",9578,18,311,1401,1300,1367,1347,844,948,586,1977,35,007
"Curry County, New Mexico",21266,77,2669,2007,2514,2024,3779,3176,2368,1459,1976,35,009
"De Baca County, New Mexico",1165,0,80,18,188,132,204,95,244,143,1972,35,011
"Doña Ana County, New Mexico",91402,1576,12278,15701,16391,15913,13700,6031,5774,1681,1990,35,013
"Eddy County, New Mexico",26633,79,3851,1944,2679,3861,3442,3073,4678,1945,1977,35,015
"Grant County, New Mexico",14664,93,846,1075,2539,2000,2503,1797,1260,938,1977,35,017
"Guadalupe County, New Mexico",2156,0,49,269,351,214,381,154,228,238,1975,35,019
"Harding County, New Mexico",489,0,9,30,29,80,31,44,47,46,1955,35,021
"Hidalgo County, New Mexico",2219,22,132,297,203,335,423,235,225,129,1977,35,023
"Lea County, New Mexico",28125,382,3598,2352,2109,4205,4760,4359,4606,944,1977,35,025
"Lincoln County, New Mexico",17768,63,700,3934,2391,3646,3616,1384,860,609,1985,35,027
"Los Alamos County, New Mexico",8660,218,348,968,804,1007,1756,1352,1322,885,1974,35,028
"Luna County, New Mexico",11567,89,437,1354,2197,1484,2018,1661,1009,549,1979,35,029
"McKinley County, New Mexico",25213,158,1678,3235,4704,4186,5277,2627,1642,872,1983,35,031
"Mora County, New Mexico",2938,22,54,295,602,602,360,97,224,104,1982,35,033
"Otero County, New Mexico",32400,136,2451,4227,6068,5967,6147,3544,2366,673,1984,35,035
"Quay County, New Mexico",5513,15,210,261,380,757,668,916,1088,377,1965,35,037
"Rio Arriba County, New Mexico",19703,130,822,2427,4027,3271,4271,1626,1299,872,1983,35,039
"Roosevelt County, New Mexico",8525,24,852,895,1284,1150,1356,930,989,464,1980,35,041
"Sandoval County, New Mexico",59759,965,7973,16411,11364,10794,7273,2355,1052,391,1996,35,043
"San Juan County, New Mexico",48085,312,3153,7474,9537,8833,9165,4302,3946,511,1986,35,045
"San Miguel County, New Mexico",14837,51,634,1540,2497,2226,2239,1264,1182,656,1978,35,047
"Santa Fe County, New Mexico",77686,841,6059,14791,15435,14518,9566,4780,4831,2203,1989,35,049
"Sierra County, New Mexico",8139,22,331,1120,1515,1448,1283,910,514,373,1983,35,051
"Socorro County, New Mexico",7642,3,352,664,1199,1653,1090,804,628,179,1980,35,053
"Taos County, New Mexico",21091,8,521,3181,4331,3762,3626,1645,1223,900,1983,35,055
"Torrance County, New Mexico",7238,27,326,599,1908,2038,1071,270,245,250,1986,35,057
"Union County, New Mexico",2091,0,57,210,231,226,202,246,177,270,1965,35,059
"Valencia County, New Mexico",30396,377,1619,5362,7319,5836,5528,1990,915,359,1989,35,061
"Albany County, New York",146959,684,8898,8412,11237,14952,20006,15206,18847,9084,1964,36,001
"Allegany County, New York",23538,131,907,1924,2285,2216,3287,2203,1961,1189,1965,36,003
"Bronx County, New York",553231,2208,29611,31765,24565,24393,46169,74323,74761,55655,1954,36,005
"Broome County, New York",92889,73,2302,3535,4774,9528,11707,12539,14002,8137,1959,36,007
"Cattaraugus County, New York",40279,70,1389,2751,3866,4515,4865,2880,3581,2247,1961,36,009
"Cayuga County, New York",36768,183,1428,2456,3342,3134,3816,3521,3332,2287,1958,36,011
"Chautauqua County, New York",66328,124,1848,3569,4325,5167,5716,6566,8729,4634,1953,36,013
"Chemung County, New York",39143,62,1080,1856,1785,2360,4970,4688,6024,2909,1955,36,015
"Chenango County, New York",24460,32,794,1693,2840,3259,2918,2273,1651,1153,1967,36,017
"Clinton County, New York",37461,205,2216,3776,4776,4903,4605,2716,4458,1968,1974,36,019
"Columbia County, New York",33331,179,1534,2872,2700,3227,4756,3032,2923,1244,1965,36,021
"Cortland County, New York",20842,73,549,988,1825,1999,2832,2362,1891,1255,1961,36,023
"Delaware County, New York",30038,102,879,2787,2695,5007,4096,2113,2150,1150,1971,36,025
"Dutchess County, New York",122636,585,5446,10847,11164,15131,19738,16665,15076,5928,1971,36,027
"Erie County, New York",439987,1641,18774,20951,28659,30596,44364,49236,79292,35942,1957,36,029
"Essex County, New York",25318,90,1017,3110,2454,2963,2953,1945,2008,1254,1970,36,031
"Franklin County, New York",25442,131,1122,1982,2654,3083,3064,1598,1610,1416,1966,36,033
"Fulton County, New York",28169,47,843,1479,2114,2691,2674,2585,2526,2755,1953,36,035
"Genesee County, New York",26090,52,683,1219,1903,1869,3113,3098,2590,1322,1956,36,037
"Greene County, New York",29037,95,908,3295,2885,4262,3879,2662,2528,1150,1972,36,039
"Hamilton County, New York",7893,22,384,783,789,814,943,1072,668,602,1968,36,041
"Herkimer County, New York",32449,179,962,2161,2234,3233,3208,2894,3112,2060,1956,36,043
"Jefferson County, New York",61721,132,4835,7046,7086,7570,5256,4232,4485,2445,1972,36,045
"Kings County, New York",1090187,6096,73998,58446,32469,35593,55754,107258,114096,92848,1943,36,047
"Lewis County, New York",15572,99,1042,1444,1946,1935,1655,949,848,586,1972,36,049
"Livingston County, New York",27198,79,1062,2171,3378,3044,3705,2132,1704,877,1969,36,051
"Madison County, New York",30676,74,1358,2552,2878,3498,3378,2738,3106,1482,1964,36,053
"Monroe County, New York",337688,1676,15650,21051,27253,36235,43061,45889,43308,20148,1965,36,055
"Montgomery County, New York",22944,111,601,933,1585,1644,1856,1265,2593,1530,1944,36,057
"Nassau County, New York",477860,2097,14682,14932,12424,22407,27825,63273,165251,61756,1955,36,059
"New York County, New York",918806,2169,46808,55857,31633,59329,70183,117768,83359,59700,1951,36,061
"Niagara County, New York",100335,317,2391,6581,7926,7520,11478,9906,17614,8628,1958,36,063
"Oneida County, New York",105285,257,4020,5321,7403,9268,9821,12074,16030,7445,1957,36,065
"Onondaga County, New York",211683,739,9528,13196,14900,22658,26527,26830,35334,13663,1963,36,067
"Ontario County, New York",53001,423,4120,6511,5793,6264,6702,3917,3713,1682,1975,36,069
"Orange County, New York",148460,1109,10815,18207,14286,19738,18626,14501,15306,5881,1975,36,071
"Orleans County, New York",18275,11,446,1007,1680,1976,2054,1111,1500,794,1954,36,073
"Oswego County, New York",54697,324,2374,3983,7046,7000,7010,4498,4646,2498,1971,36,075
"Otsego County, New York",30011,140,1308,1905,2703,2850,2943,1790,2297,1751,1954,36,077
"Putnam County, New York",38369,93,960,3224,3125,4932,5719,5093,5373,2993,1968,36,079
"Queens County, New York",903598,2969,42890,39205,27417,35800,55220,121207,178169,127351,1953,36,081
"Rensselaer County, New York",74388,335,4938,5983,7027,6648,7172,6703,7529,3757,1962,36,083
"Richmond County, New York",184074,439,7764,16871,19254,28613,29712,23568,17499,7534,1974,36,085
"Rockland County, New York",108576,598,6029,7829,8881,11643,19474,23437,14828,3334,1970,36,087
"St. Lawrence County, New York",51884,268,2354,3829,4740,5666,6335,4444,6025,2857,1964,36,089
"Saratoga County, New York",111127,1180,13261,15923,15325,15459,13611,9367,6249,3140,1984,36,091
"Schenectady County, New York",71051,393,4440,4168,3838,4301,5081,7630,11710,6513,1955,36,093
"Schoharie County, New York",16544,78,802,1629,1914,2253,2242,1086,774,588,1973,36,095
"Schuyler County, New York",9691,80,671,731,1261,930,1092,1019,670,393,1969,36,097
"Seneca County, New York",16148,38,612,1372,1164,1656,1557,1171,1705,966,1957,36,099
"Steuben County, New York",47565,223,1914,3349,5202,4667,5804,4163,4227,2506,1964,36,101
"Suffolk County, New York",579790,2553,20759,47066,51373,59780,102872,114911,99507,27672,1970,36,103
"Sullivan County, New York",49667,188,2996,5514,3791,7998,5659,4379,4952,3934,1972,36,105
"Tioga County, New York",21966,59,1104,1437,2184,2411,3233,2619,2007,919,1968,36,107
"Tompkins County, New York",47362,385,3995,3555,6377,6062,5893,3977,3663,1257,1974,36,109
"Ulster County, New York",86178,441,3963,7771,6651,10114,10784,8479,11052,5094,1966,36,111
"Warren County, New York",40177,238,2066,4086,4312,5685,4950,3711,3814,2144,1973,36,113
"Washington County, New York",29111,59,1413,2563,2685,3316,2882,2078,2208,1636,1962,36,115
"Wayne County, New York",42375,169,1523,3179,4678,4823,5433,3682,3636,1690,1966,36,117
"Westchester County, New York",391861,1980,14939,20549,20146,32826,38793,54752,70417,27851,1958,36,119
"Wyoming County, New York",18204,99,575,1201,1867,1528,2681,1324,1080,762,1961,36,121
"Yates County, New York",13143,132,561,1129,1436,1622,1549,1063,961,578,1969,36,123
"Alamance County, North Carolina",75456,1103,9498,12770,11797,8772,8772,6888,7377,3406,1987,37,001
"Alexander County, North Carolina",16126,89,1057,2484,3339,2237,2770,1363,1021,983,1985,37,003
"Alleghany County, North Carolina",7752,115,383,1109,1472,1010,1347,1074,477,368,1982,37,005
"Anson County, North Carolina",9932,49,262,789,1606,1101,1959,1539,960,747,1974,37,007
"Ashe County, North Carolina",17111,19,800,2647,2846,2441,2991,2388,1129,706,1981,37,009
"Avery County, North Carolina",14051,36,642,2152,2153,3931,2260,885,642,570,1985,37,011
"Beaufort County, North Carolina",24385,64,1761,3000,3290,3777,4095,2497,2644,1214,1979,37,013
"Bertie County, North Carolina",8988,9,678,905,1529,1444,1587,968,798,538,1980,37,015
"Bladen County, North Carolina",15272,157,1380,1492,3133,2122,2962,1238,1326,856,1983,37,017
"Brunswick County, North Carolina",93977,2851,19777,27322,16959,13207,7598,3045,1721,525,2001,37,019
"Buncombe County, North Carolina",132191,4178,17759,20914,22337,16656,13432,9624,7848,4989,1989,37,021
"Burke County, North Carolina",40058,383,1718,4805,6390,6478,5910,5395,3397,2379,1980,37,023
"Cabarrus County, North Carolina",91339,2345,17461,20655,13720,8510,7345,5386,6070,3761,1996,37,025
"Caldwell County, North Carolina",37231,191,1505,4297,6738,6392,5601,4847,4016,1606,1981,37,027
"Camden County, North Carolina",4226,105,376,1517,798,471,299,115,163,210,1999,37,029
"Carteret County, North Carolina",51615,739,5179,8918,9486,11609,6761,3075,2365,1194,1989,37,031
"Caswell County, North Carolina",10490,25,742,1475,1676,1595,1902,812,1068,469,1982,37,033
"Catawba County, North Carolina",72028,630,4528,11712,12365,12325,10790,7158,5110,3308,1984,37,035
"Chatham County, North Carolina",35013,1231,6986,6802,7259,4027,2890,2059,1739,580,1997,37,037
"Cherokee County, North Carolina",18182,238,1973,4796,3205,3385,1907,1036,583,239,1993,37,039
"Chowan County, North Carolina",7169,16,358,708,1126,1149,1613,492,391,507,1979,37,041
"Clay County, North Carolina",7410,46,430,1728,1413,1144,1392,391,331,249,1989,37,043
"Cleveland County, North Carolina",43999,324,1980,5430,7525,6161,8317,5351,3872,2057,1979,37,045
"Columbus County, North Carolina",23560,194,1352,2827,4865,2864,4331,2175,2504,908,1981,37,047
"Craven County, North Carolina",47404,918,5424,9820,7351,8277,6082,2924,3084,1404,1990,37,049
"Cumberland County, North Carolina",143184,1316,14872,23978,25700,21476,25104,16792,7789,3363,1987,37,051
"Currituck County, North Carolina",16636,527,2814,3899,3741,2525,1301,613,355,156,1997,37,053
"Dare County, North Carolina",34839,192,1827,6539,5766,11924,4788,1882,901,295,1987,37,055
"Davidson County, North Carolina",75615,782,5954,13684,12046,10259,10481,7605,6880,3103,1985,37,057
"Davie County, North Carolina",19079,224,1380,4196,3707,2504,2687,1830,858,603,1990,37,059
"Duplin County, North Carolina",23823,220,1994,4046,4605,3072,3172,2530,2061,762,1987,37,061
"Durham County, North Carolina",149150,3603,29954,25247,21531,21248,16268,11012,7996,5046,1993,37,063
"Edgecombe County, North Carolina",23258,98,1492,2895,3548,2279,4309,2462,2521,1444,1977,37,065
"Forsyth County, North Carolina",173220,1906,17283,24994,25500,25686,26303,17620,17144,6082,1983,37,067
"Franklin County, North Carolina",30790,1306,4723,6249,6183,4478,2104,1662,1399,898,1995,37,069
"Gaston County, North Carolina",100109,1469,10585,14608,12877,12891,13109,11819,9639,5658,1982,37,071
"Gates County, North Carolina",4809,9,346,880,1261,589,283,318,398,249,1991,37,073
"Graham County, North Carolina",5244,52,418,882,967,896,965,475,243,271,1987,37,075
"Granville County, North Carolina",24582,495,2705,4923,4068,4012,2636,1902,1419,834,1990,37,077
"Greene County, North Carolina",7909,22,699,1122,1321,1237,1143,885,744,140,1984,37,079
"Guilford County, North Carolina",235833,2326,23790,39177,37801,33372,32493,24430,20369,8555,1986,37,081
"Halifax County, North Carolina",24849,158,1284,2223,4600,3966,3233,2736,2576,1850,1979,37,083
"Harnett County, North Carolina",54051,947,9765,11902,10871,5869,5332,3218,2272,1414,1996,37,085
"Haywood County, North Carolina",35307,285,2223,5487,6014,5538,4546,3835,2729,1817,1983,37,087
"Henderson County, North Carolina",57338,582,6110,10597,10268,9366,7944,4315,3918,1528,1989,37,089
"Hertford County, North Carolina",9831,69,488,920,1619,1272,1515,1495,985,653,1976,37,091
"Hoke County, North Carolina",20583,339,3694,5733,4476,2044,1829,1155,649,304,1999,37,093
"Hyde County, North Carolina",3168,22,94,615,409,389,365,425,146,145,1978,37,095
"Iredell County, North Carolina",81785,1727,12286,20052,16505,8902,6754,5392,4232,2217,1996,37,097
"Jackson County, North Carolina",27385,208,2236,6704,4378,4805,4096,1665,1040,994,1990,37,099
"Johnston County, North Carolina",88314,2821,18850,19976,17844,8762,6321,4203,3808,1847,1999,37,101
"Jones County, North Carolina",4675,79,550,767,758,499,717,382,351,94,1986,37,103
"Lee County, North Carolina",26854,557,2502,4886,4767,4559,4142,1910,1902,731,1988,37,105
"Lenoir County, North Carolina",26767,29,1280,2495,4523,3726,5112,3375,3051,1533,1977,37,107
"Lincoln County, North Carolina",38589,870,5346,7606,7507,5334,3725,2874,2049,1022,1993,37,109
"McDowell County, North Carolina",21475,223,1677,3345,3439,3147,3084,2172,1786,1052,1983,37,111
"Macon County, North Carolina",27070,156,1674,4721,5513,5280,4972,1886,1518,676,1987,37,113
"Madison County, North Carolina",11201,132,1012,1815,1870,1967,1459,717,900,291,1986,37,115
"Martin County, North Carolina",11100,15,522,1526,1601,1174,1598,1497,1456,709,1976,37,117
"Mecklenburg County, North Carolina",491721,10162,90547,108546,87526,67172,46460,34892,24922,10370,1996,37,119
"Mitchell County, North Carolina",8673,19,320,1107,1504,1136,1083,830,1030,721,1978,37,121
"Montgomery County, North Carolina",14930,112,1023,2244,2612,2172,2339,1422,1087,509,1983,37,123
"Moore County, North Carolina",49419,1194,8553,8500,8710,7106,6660,3096,2118,767,1993,37,125
"Nash County, North Carolina",43537,452,2850,6968,8275,6873,7051,3023,3324,857,1985,37,127
"New Hanover County, North Carolina",117236,2708,16366,22094,22267,17591,13569,6367,5194,4659,1992,37,129
"Northampton County, North Carolina",10620,80,794,918,1922,1401,1938,926,1225,757,1979,37,131
"Onslow County, North Carolina",85917,2185,19552,17632,12599,11576,9454,5798,4834,1737,1997,37,133
"Orange County, North Carolina",62127,1137,8037,10321,10883,10679,8531,5151,3816,1255,1989,37,135
"Pamlico County, North Carolina",7239,37,705,1184,1384,1311,978,670,413,174,1988,37,137
