NAME,total_housing_units,built_2020_or_later,built_2010_to_2019,built_2000_to_2009,built_1990_to_1999,built_1980_to_1989,built_1970_to_1979,built_1960_to_1969,built_1950_to_1959,built_1940_to_1949,median_year_year_built,state,county
"Petersburg Borough, Alaska",1871,0,104,140,251,426,321,113,70,85,1980,02,195
"Prince of Wales-Hyder Census Area, Alaska",3237,14,197,363,701,830,667,162,88,68,1986,02,198
"Sitka City and Borough, Alaska",4167,8,194,439,348,1039,988,545,275,165,1979,02,220
"Skagway Municipality, Alaska",656,6,50,92,105,120,80,34,14,34,1984,02,230
"Southeast Fairbanks Census Area, Alaska",3520,9,456,594,542,1045,491,224,112,23,1988,02,240
"Wrangell City and Borough, Alaska",1300,4,65,75,158,207,302,169,123,54,1975,02,275
"Yakutat City and Borough, Alaska",391,1,35,57,58,63,116,30,11,3,1983,02,282
"Yukon-Koyukuk Census Area, Alaska",3958,6,264,368,673,1269,767,248,180,109,1985,02,290
"Apache County, Arizona",29001,160,1503,5367,6154,6073,5660,2509,1040,270,1988,04,001
"Cochise County, Arizona",59312,253,4207,11475,10396,9340,10281,4236,3720,1304,1986,04,003
"Coconino County, Arizona",69907,721,6744,13259,14681,14798,10811,3823,2951,957,1990,04,005
"Gila County, Arizona",32614,285,1976,6110,5479,5313,6443,2618,1656,846,1985,04,007
"Graham County, Arizona",13941,220,1492,2649,1855,2259,2131,1173,865,506,1987,04,009
"Greenlee County, Arizona",4422,15,166,245,986,866,1188,183,334,264,1981,04,011
"La Paz County, Arizona",13653,38,1361,2044,2136,2779,3048,1544,446,146,1986,04,012
"Maricopa County, Arizona",1850862,32353,216171,406348,338881,313500,289005,123542,92649,21705,1992,04,013
"Mohave County, Arizona",119593,1545,9825,31914,28246,24331,15608,5356,1660,559,1994,04,015
"Navajo County, Arizona",56946,333,3112,13482,9882,10859,10156,4531,2191,731,1988,04,017
"Pima County, Arizona",475378,5537,35732,86570,78471,81467,88366,39508,37501,13191,1986,04,019
"Pinal County, Arizona",179861,6047,32439,75716,24695,15053,12725,5038,5279,1168,2003,04,021
"Santa Cruz County, Arizona",18997,142,1355,4469,3575,2791,3341,1320,1035,210,1990,04,023
"Yavapai County, Arizona",124032,2429,13232,29371,27245,22656,16072,6043,2898,1068,1994,04,025
"Yuma County, Arizona",93924,951,11653,23393,19398,14101,12221,4510,4790,1535,1994,04,027
"Arkansas County, Arkansas",8697,5,473,904,1219,1120,1789,1119,1146,413,1976,05,001
"Ashley County, Arkansas",9401,33,796,602,1482,1033,2210,1221,1063,571,1977,05,003
"Baxter County, Arkansas",22836,53,1571,2922,4436,3711,5726,1867,1011,609,1983,05,005
"Benton County, Arkansas",118496,3722,24694,29051,24392,14330,11876,4083,2200,1155,1999,05,007
"Boone County, Arkansas",17395,211,1035,2666,3404,2314,3581,1713,989,445,1984,05,009
"Bradley County, Arkansas",5082,12,324,407,534,872,1128,814,442,206,1977,05,011
"Calhoun County, Arkansas",2468,3,186,403,231,405,430,452,213,76,1980,05,013
"Carroll County, Arkansas",13916,42,980,2068,3534,2496,2139,678,429,390,1989,05,015
"Chicot County, Arkansas",5114,0,428,456,711,725,1417,716,344,198,1978,05,017
"Clark County, Arkansas",10012,109,1084,1352,1744,1809,1214,1105,616,350,1986,05,019
"Clay County, Arkansas",7499,22,405,398,601,1081,1837,1286,861,432,1973,05,021
"Cleburne County, Arkansas",15641,105,1569,2426,3208,2456,3456,1321,501,251,1988,05,023
"Cleveland County, Arkansas",3598,23,356,490,714,562,727,385,181,110,1986,05,025
"Columbia County, Arkansas",11032,80,920,1199,1680,1731,1544,1283,1028,1034,1981,05,027
"Conway County, Arkansas",9681,141,1001,1354,1547,1024,1821,1161,597,277,1982,05,029
"Craighead County, Arkansas",47983,607,8826,7182,8150,6597,8391,4023,1804,1152,1991,05,031
"Crawford County, Arkansas",25509,322,2464,4407,5522,3489,4445,2002,1155,779,1990,05,033
"Crittenden County, Arkansas",21367,93,1246,3713,3284,3306,3757,3032,1625,805,1983,05,035
"Cross County, Arkansas",7581,48,410,979,1263,1121,1377,1232,495,397,1980,05,037
"Dallas County, Arkansas",3490,9,184,410,444,563,770,421,271,128,1978,05,039
"Desha County, Arkansas",5812,70,318,474,579,881,1419,808,582,294,1976,05,041
"Drew County, Arkansas",8292,41,816,1066,1489,1173,1519,698,752,174,1984,05,043
"Faulkner County, Arkansas",52862,1261,8531,13458,10977,8024,5261,2371,1531,630,1997,05,045
"Franklin County, Arkansas",7751,78,722,1082,1182,1383,1271,886,306,376,1984,05,047
"Fulton County, Arkansas",6218,76,314,857,1243,916,1481,689,182,125,1983,05,049
"Garland County, Arkansas",52570,410,4300,9119,7598,7704,9420,4970,3339,2363,1984,05,051
"Grant County, Arkansas",7907,152,1322,932,1343,1434,1542,557,244,107,1989,05,053
"Greene County, Arkansas",19420,367,2709,3357,3132,2140,3507,1916,935,771,1989,05,055
"Hempstead County, Arkansas",9638,21,739,910,1297,1825,1934,962,940,414,1980,05,057
"Hot Spring County, Arkansas",14259,171,1290,1733,1920,1753,2756,1878,1230,993,1979,05,059
"Howard County, Arkansas",6162,20,653,703,726,898,1456,566,532,172,1979,05,061
"Independence County, Arkansas",16740,137,1988,2228,3338,2675,2825,1303,951,622,1987,05,063
"Izard County, Arkansas",6749,13,435,926,1114,1197,1726,425,247,272,1983,05,065
"Jackson County, Arkansas",7106,24,363,396,606,1076,1934,941,799,549,1974,05,067
"Jefferson County, Arkansas",30710,208,1430,2976,3887,4564,6456,4500,3049,1596,1976,05,069
"Johnson County, Arkansas",11523,90,741,1504,2317,2039,1903,845,633,719,1985,05,071
"Lafayette County, Arkansas",3940,64,252,442,456,533,783,466,461,258,1977,05,073
"Lawrence County, Arkansas",7585,47,378,566,1061,1189,1909,1042,675,291,1977,05,075
"Lee County, Arkansas",3707,2,195,169,354,440,745,859,518,130,1971,05,077
"Lincoln County, Arkansas",4398,122,334,502,937,607,603,484,466,239,1985,05,079
"Little River County, Arkansas",6071,3,478,725,846,1031,1518,916,252,104,1980,05,081
"Logan County, Arkansas",9762,64,691,1115,1382,1456,2157,994,640,492,1979,05,083
"Lonoke County, Arkansas",30566,403,4650,8429,6076,3820,3651,1434,767,497,1997,05,085
"Madison County, Arkansas",7699,173,958,1228,1466,1055,927,600,168,288,1990,05,087
"Marion County, Arkansas",9623,24,525,1612,1868,1521,2129,665,444,301,1985,05,089
"Miller County, Arkansas",19810,134,2156,2412,3288,2684,3095,2857,1517,852,1983,05,091
"Mississippi County, Arkansas",19126,27,1475,1320,2482,3140,4654,2558,1648,1089,1978,05,093
"Monroe County, Arkansas",3843,0,135,446,452,562,809,621,473,140,1976,05,095
"Montgomery County, Arkansas",5469,34,391,1122,1122,886,692,258,386,270,1989,05,097
"Nevada County, Arkansas",4318,2,248,509,675,798,778,312,517,160,1981,05,099
"Newton County, Arkansas",4107,49,428,465,642,530,850,295,263,86,1981,05,101
"Ouachita County, Arkansas",11870,22,627,687,1324,2154,1920,1521,1776,937,1974,05,103
"Perry County, Arkansas",4952,36,668,834,757,1009,712,379,237,79,1988,05,105
"Phillips County, Arkansas",8386,4,209,746,983,1228,1987,1782,545,350,1975,05,107
"Pike County, Arkansas",5319,32,423,555,863,1085,1010,490,280,195,1983,05,109
"Poinsett County, Arkansas",10418,84,864,906,1290,1554,2061,1817,1014,404,1978,05,111
"Polk County, Arkansas",9647,48,631,1671,1699,1444,1392,1002,512,632,1985,05,113
"Pope County, Arkansas",27033,230,2894,3793,5396,5233,5106,1996,1185,451,1988,05,115
"Prairie County, Arkansas",4093,22,301,283,754,618,716,757,333,162,1979,05,117
"Pulaski County, Arkansas",192085,1698,20801,23975,22776,26730,35323,26203,16179,8741,1980,05,119
"Randolph County, Arkansas",8620,7,531,1236,1227,1152,2132,1230,515,285,1979,05,121
"St. Francis County, Arkansas",9583,33,410,1169,1351,1856,1769,1544,787,314,1980,05,123
"Saline County, Arkansas",52468,729,10041,12704,10088,6230,5748,2892,2463,783,1997,05,125
"Scott County, Arkansas",4873,24,336,623,470,850,1005,597,395,323,1979,05,127
"Searcy County, Arkansas",4721,51,339,510,787,666,851,481,324,251,1980,05,129
"Sebastian County, Arkansas",57197,684,5413,6715,6935,8666,10680,5406,5691,3815,1980,05,131
"Sevier County, Arkansas",6768,27,416,895,1054,1001,1419,1111,488,125,1980,05,133
"Sharp County, Arkansas",9515,77,303,922,1287,1550,3236,1429,453,69,1978,05,135
"Stone County, Arkansas",6820,57,458,1130,1580,1164,959,633,319,208,1988,05,137
"Union County, Arkansas",18663,157,1517,2036,2207,2512,3438,2429,2485,994,1977,05,139
"Van Buren County, Arkansas",9724,96,847,1589,1580,1895,2013,748,375,305,1986,05,141
"Washington County, Arkansas",103174,1867,15856,22289,20543,14050,12722,7713,3573,1685,1994,05,143
"White County, Arkansas",33622,251,4007,6516,7836,4532,5837,1877,1226,698,1992,05,145
"Woodruff County, Arkansas",3272,13,142,429,415,461,982,477,190,75,1978,05,147
"Yell County, Arkansas",9300,64,685,1526,1403,1494,1671,1020,427,378,1983,05,149
"Alameda County, California",630726,5484,39427,44837,50838,71376,93176,82081,79567,42755,1969,06,001
"Alpine County, California",1587,11,34,209,283,293,431,135,53,49,1981,06,003
"Amador County, California",18919,136,846,3279,2925,3451,4183,1386,858,396,1983,06,005
"Butte County, California",91176,1568,6687,10831,11209,15873,16729,8927,8751,4477,1980,06,007
