PartialFIPS,TEMPERATURE,Anomaly (1901-2000 base period),MONTH
FL-013,57.3,6.0,1
FL-015,65.6,3.2,1
FL-017,59.7,2.6,1
FL-019,59.2,4.5,1
FL-021,68.3,3.7,1
FL-023,56.1,2.9,1
FL-027,63.9,2.4,1
FL-029,57.6,3.8,1
FL-031,58.8,4.9,1
FL-033,57.8,6.4,1
FL-035,61.8,4.9,1
FL-037,58.1,5.2,1
FL-039,56.7,5.4,1
FL-041,57.7,3.6,1
FL-043,65.6,3.2,1
FL-045,58.7,6.2,1
FL-047,54.5,2.4,1
FL-049,63.6,2.8,1
FL-051,66.9,3.4,1
FL-053,60.8,2.9,1
FL-055,64.0,2.7,1
FL-057,63.7,3.8,1
FL-059,55.2,4.8,1
FL-061,65.0,3.5,1
FL-063,55.9,4.9,1
FL-065,56.4,4.6,1
FL-067,55.8,2.7,1
FL-069,62.1,3.9,1
FL-071,67.8,4.4,1
FL-073,57.1,5.4,1
FL-075,59.2,3.9,1
FL-077,57.7,6.0,1
FL-079,54.7,2.9,1
FL-081,63.7,2.9,1
FL-083,60.2,3.6,1
FL-085,67.4,4.0,1
FL-086,70.2,4.3,1
FL-087,70.4,4.0,1
FL-089,57.4,4.7,1
FL-091,57.4,6.5,1
FL-093,65.1,3.4,1
FL-095,63.4,3.7,1
FL-097,63.8,3.2,1
FL-099,68.1,3.7,1
FL-101,61.9,3.4,1
FL-103,63.5,3.3,1
FL-105,63.6,3.4,1
FL-107,60.6,4.5,1
FL-109,60.8,5.2,1
FL-111,66.6,4.0,1
FL-113,57.9,6.6,1
FL-115,63.8,2.2,1
FL-117,63.0,3.6,1
FL-119,60.9,3.1,1
FL-121,55.3,2.4,1
FL-123,56.0,3.3,1
FL-125,57.1,3.1,1
FL-127,62.5,4.2,1
FL-129,57.6,5.3,1
FL-131,57.0,6.2,1
FL-133,56.4,5.2,1
GA-001,53.8,4.0,1
GA-003,54.1,4.1,1
GA-005,54.3,4.2,1
GA-007,54.7,5.0,1
GA-009,51.4,6.1,1
GA-011,48.0,6.1,1
GA-013,48.4,6.5,1
GA-015,47.9,7.1,1
GA-017,52.7,4.4,1
GA-019,53.3,3.7,1
GA-021,51.6,6.0,1
GA-023,51.9,4.9,1
GA-025,54.8,3.9,1
GA-027,54.5,3.9,1
GA-029,53.4,3.4,1
GA-031,52.6,4.2,1
GA-033,51.1,5.0,1
GA-035,50.8,7.2,1
GA-037,53.9,4.8,1
GA-039,56.4,4.3,1
GA-043,52.5,4.3,1
GA-045,49.3,7.9,1
GA-047,47.2,7.5,1
GA-049,56.2,4.3,1
GA-051,54.5,4.4,1
GA-053,52.1,5.3,1
GA-055,47.7,7.3,1
GA-057,47.1,6.7,1
GA-059,48.8,6.5,1
GA-061,53.2,4.5,1
GA-063,50.2,7.6,1
GA-065,54.8,3.6,1
GA-067,48.8,7.7,1
GA-069,53.7,4.4,1
GA-071,53.8,4.1,1
GA-073,50.5,5.7,1
GA-075,53.5,3.7,1
GA-077,50.2,7.5,1
GA-079,51.3,5.8,1
GA-081,53.2,5.8,1
GA-083,46.4,7.5,1
GA-085,45.7,6.0,1
GA-087,55.9,5.2,1
GA-089,49.5,7.7,1
GA-091,51.8,4.1,1
GA-093,52.8,5.9,1
GA-095,54.1,4.9,1
GA-097,49.3,7.9,1
GA-099,54.4,4.8,1
GA-101,54.2,2.7,1
GA-103,53.3,4.6,1
GA-105,48.6,6.6,1
GA-107,51.8,4.4,1
GA-109,53.0,3.7,1
GA-111,43.6,6.1,1
GA-113,50.4,7.5,1
GA-115,48.4,7.4,1
GA-117,46.8,6.2,1
GA-119,47.6,5.6,1
GA-121,49.2,7.7,1
GA-123,44.6,6.4,1
GA-125,50.2,5.0,1
GA-127,55.5,3.7,1
GA-129,47.4,6.9,1
GA-131,55.8,5.1,1
GA-133,49.8,6.3,1
GA-135,48.3,6.9,1
GA-137,46.0,5.4,1
GA-139,47.2,6.1,1
GA-141,50.5,5.8,1
GA-143,48.9,8.1,1
GA-145,50.5,5.5,1
GA-147,47.6,5.9,1
GA-149,50.0,7.4,1
GA-151,50.4,7.2,1
GA-153,52.1,5.6,1
GA-155,52.8,4.2,1
GA-157,48.4,6.4,1
GA-159,50.7,7.3,1
GA-161,53.4,4.4,1
GA-163,50.4,4.6,1
GA-165,51.7,5.1,1
GA-167,51.6,4.7,1
GA-169,51.4,6.6,1
GA-171,50.9,6.7,1
GA-173,53.9,3.5,1
GA-175,51.8,4.4,1
GA-177,53.9,5.6,1
GA-179,53.1,2.6,1
GA-181,49.6,6.0,1
GA-183,53.1,2.5,1
GA-185,53.9,3.1,1
GA-187,45.2,6.1,1
GA-189,49.9,5.5,1
GA-191,54.3,3.0,1
GA-193,52.3,5.9,1
GA-195,48.4,6.5,1
GA-197,52.1,5.7,1
GA-199,50.4,6.5,1
GA-201,55.0,4.9,1
GA-205,54.8,4.9,1
GA-207,51.0,6.5,1
GA-209,52.6,4.3,1
GA-211,49.9,6.9,1
GA-213,46.4,6.9,1
GA-215,51.6,5.1,1
GA-217,50.0,7.2,1
GA-219,49.0,6.4,1
GA-221,48.9,6.5,1
GA-223,48.7,7.8,1
GA-225,51.8,5.8,1
GA-227,46.0,6.4,1
GA-229,54.6,4.0,1
GA-231,50.8,6.7,1
GA-233,49.3,8.2,1
GA-235,52.3,5.2,1
GA-237,50.9,6.9,1
GA-239,52.6,4.7,1
GA-241,43.8,5.1,1
GA-243,53.2,5.1,1
GA-245,51.0,5.3,1
GA-247,49.8,7.3,1
GA-249,52.6,6.0,1
GA-251,51.9,4.8,1
GA-253,55.7,5.1,1
GA-255,50.9,7.0,1
GA-257,46.8,4.8,1
GA-259,52.6,5.4,1
GA-261,53.5,6.2,1
GA-263,50.7,5.5,1
GA-265,49.6,6.0,1
GA-267,53.3,3.7,1
GA-269,51.5,5.7,1
GA-271,52.6,4.2,1
GA-273,53.8,5.6,1
GA-275,55.3,4.6,1
GA-277,52.5,3.7,1
GA-279,53.0,4.1,1
GA-281,43.4,5.9,1
GA-283,52.1,4.3,1
GA-285,50.1,6.4,1
GA-287,52.6,4.6,1
GA-289,51.9,5.5,1
GA-291,43.6,6.1,1
GA-293,50.8,6.0,1
GA-295,47.1,7.7,1
GA-297,49.0,6.7,1
GA-299,55.3,4.2,1
GA-301,49.8,5.4,1
GA-303,51.2,5.1,1
GA-305,53.7,3.1,1
GA-307,53.2,6.0,1
GA-309,52.4,4.1,1
GA-311,45.5,5.9,1
GA-313,47.2,7.4,1
GA-315,52.5,4.9,1
GA-317,49.3,6.3,1
GA-319,51.8,5.4,1
GA-321,53.3,4.6,1
ID-001,32.2,2.8,1
ID-003,24.2,1.4,1
ID-005,23.2,1.0,1
ID-007,18.4,0.5,1
ID-009,31.0,4.8,1
ID-011,20.4,0.6,1
ID-013,19.1,-0.3,1
ID-015,23.0,0.1,1
ID-017,28.2,5.2,1
ID-019,18.4,-0.6,1
ID-021,26.8,6.1,1
ID-023,16.0,-0.5,1
ID-025,19.7,-0.0,1
ID-027,32.4,3.4,1
ID-029,19.7,-0.3,1
ID-031,24.4,0.2,1
ID-033,16.8,0.7,1
ID-035,26.8,2.3,1
ID-037,16.7,-0.5,1
ID-039,26.2,1.0,1
ID-041,21.5,0.6,1
ID-043,16.5,0.9,1
ID-045,28.6,2.0,1
ID-047,26.6,2.1,1
ID-049,24.4,1.9,1
ID-051,16.7,0.5,1
ID-053,28.0,2.8,1
ID-055,31.2,5.7,1
ID-057,31.4,4.5,1
ID-059,18.3,0.4,1
ID-061,29.2,2.8,1
ID-063,23.1,1.5,1
ID-065,18.8,0.7,1
ID-067,23.3,1.6,1
ID-069,32.2,3.5,1
ID-071,22.8,-0.1,1
ID-073,27.1,0.1,1
ID-075,31.6,4.4,1
ID-077,23.0,0.6,1
ID-079,26.9,3.5,1
ID-081,17.7,0.8,1
ID-083,26.4,0.2,1
ID-085,19.3,-0.1,1
ID-087,26.5,1.3,1
IL-001,32.8,7.5,1
IL-003,42.1,8.8,1
IL-005,37.4,8.6,1
IL-007,28.4,9.2,1
IL-009,32.9,7.7,1
IL-011,30.2,9.2,1
IL-013,36.2,8.4,1
IL-015,27.8,8.9,1
IL-017,33.8,8.4,1
IL-019,34.4,9.7,1
IL-021,36.0,9.5,1
IL-023,37.6,10.1,1
IL-025,38.9,9.9,1
IL-027,38.7,9.1,1
IL-029,36.1,9.6,1
IL-031,32.0,9.5,1
IL-033,38.5,9.9,1
IL-035,37.0,9.6,1
IL-037,29.1,9.1,1
IL-039,34.2,9.9,1
IL-041,35.8,10.2,1
IL-043,30.8,9.2,1
IL-045,36.3,9.9,1
IL-047,39.9,9.3,1
IL-049,37.6,9.8,1
IL-051,37.5,9.2,1
IL-053,33.5,10.0,1
IL-055,40.4,9.2,1
IL-057,32.5,8.5,1
IL-059,41.6,9.2,1
IL-061,35.8,8.3,1
IL-063,31.7,9.6,1
IL-065,40.4,9.2,1
IL-067,31.6,7.4,1
IL-069,42.0,9.2,1
IL-071,30.5,7.8,1
IL-073,29.2,8.2,1
IL-075,33.0,9.4,1
IL-077,40.1,8.7,1
IL-079,38.1,9.8,1
IL-081,39.8,9.5,1
IL-083,36.8,8.5,1
IL-085,26.7,8.6,1
IL-087,41.2,8.8,1
IL-089,29.8,9.2,1
IL-091,32.3,9.4,1
IL-093,30.3,8.7,1
IL-095,30.5,8.4,1
IL-097,30.6,9.7,1
IL-099,30.9,9.3,1
IL-101,39.0,9.2,1
IL-103,29.1,9.2,1
IL-105,33.1,10.4,1
IL-107,34.6,9.7,1
IL-109,31.5,7.9,1
IL-111,28.8,9.3,1
IL-113,33.7,10.4,1
IL-115,34.8,9.4,1
IL-117,36.0,8.6,1
IL-119,37.2,7.8,1
IL-121,38.7,9.5,1
IL-123,32.1,9.8,1
IL-125,34.1,9.1,1
IL-127,42.5,9.1,1
IL-129,34.3,9.0,1
IL-131,29.9,8.4,1
IL-133,39.3,8.4,1
IL-135,36.3,8.8,1
IL-137,34.5,8.7,1
IL-139,35.5,9.5,1
IL-141,28.4,9.2,1
IL-143,32.4,9.5,1
IL-145,39.6,8.9,1
IL-147,34.7,9.9,1
IL-149,34.5,8.2,1
IL-151,41.8,9.1,1
IL-153,42.0,8.7,1
IL-155,31.6,9.4,1
IL-157,39.1,8.2,1
IL-159,39.1,9.5,1
IL-161,29.4,8.4,1
IL-163,38.4,8.1,1
IL-165,41.1,9.1,1
IL-167,35.0,9.1,1
IL-169,32.7,8.0,1
IL-171,34.8,8.4,1
IL-173,36.3,9.5,1
IL-175,30.7,9.0,1
IL-177,27.5,9.3,1
IL-179,33.7,10.0,1
IL-181,40.7,8.6,1
IL-183,34.2,9.0,1
IL-185,39.7,9.0,1
IL-187,30.2,8.0,1
IL-189,39.1,9.0,1
IL-191,39.8,9.5,1
IL-193,40.8,9.2,1
IL-195,28.9,8.8,1
IL-197,31.4,8.9,1
IL-199,40.8,9.1,1
IL-201,28.5,9.5,1
IL-203,33.0,10.4,1
IN-001,34.9,10.4,1
IN-003,34.0,10.0,1
IN-005,38.8,10.1,1
IN-007,33.6,9.9,1
IN-009,35.7,10.3,1
IN-011,34.9,9.8,1
IN-013,37.7,9.8,1
IN-015,35.1,10.5,1
IN-017,34.8,10.6,1
IN-019,39.8,8.8,1
IN-021,37.8,10.5,1
IN-023,34.9,10.1,1
IN-025,39.6,8.4,1
IN-027,39.1,9.8,1
IN-029,38.5,9.2,1
IN-031,38.3,10.0,1
IN-033,32.8,9.7,1
IN-035,36.5,10.7,1
IN-037,39.4,8.9,1
IN-039,32.7,9.9,1
IN-041,36.8,9.9,1
IN-043,40.2,8.9,1
IN-045,35.0,9.7,1
IN-047,37.8,9.7,1
IN-049,34.0,10.8,1
IN-051,40.0,9.0,1
IN-053,35.7,10.4,1
IN-055,38.5,10.6,1
IN-057,35.8,9.9,1
IN-059,37.0,10.4,1
IN-061,40.6,9.0,1
IN-063,35.6,9.5,1
IN-065,36.3,10.6,1
IN-067,35.2,10.4,1
IN-069,34.4,9.8,1
IN-071,39.2,9.8,1
IN-073,33.4,10.1,1
IN-075,35.6,10.4,1
IN-077,39.6,9.6,1
IN-079,38.9,9.5,1
IN-081,37.0,9.9,1
IN-083,39.4,9.8,1
IN-085,33.2,10.0,1
IN-087,32.6,9.9,1
IN-089,32.9,9.9,1
IN-091,33.3,10.2,1
IN-093,38.6,9.8,1
IN-095,36.6,10.6,1
IN-097,36.2,9.5,1
IN-099,33.5,10.7,1
IN-101,38.9,9.9,1
IN-103,34.7,10.3,1
IN-105,37.4,9.8,1
IN-107,35.4,10.3,1
IN-109,36.6,9.4,1
IN-111,33.1,9.8,1
IN-113,32.4,9.4,1
IN-115,39.5,9.5,1
IN-117,39.1,9.1,1
IN-119,37.5,10.1,1
IN-121,36.0,9.6,1
IN-123,40.2,7.9,1
IN-125,39.5,9.2,1
IN-127,33.0,10.0,1
IN-129,41.2,9.0,1
IN-131,33.8,10.5,1
IN-133,36.1,9.8,1
IN-135,35.4,10.1,1
IN-137,38.4,9.6,1
IN-139,37.5,10.5,1
IN-141,33.4,10.5,1
IN-143,39.4,9.3,1
IN-145,38.1,10.5,1
IN-147,40.3,8.0,1
IN-149,33.8,10.8,1
IN-151,32.4,10.1,1
IN-153,39.1,10.9,1
IN-155,40.1,9.8,1
IN-157,35.1,10.4,1
IN-159,35.5,10.4,1
IN-161,36.5,9.4,1
IN-163,40.7,8.6,1
IN-165,35.8,9.4,1
IN-167,38.1,10.7,1
IN-169,34.3,9.7,1
IN-171,34.1,9.4,1
IN-173,40.1,8.5,1
IN-175,39.0,9.2,1
IN-177,35.2,9.1,1
IN-179,34.8,10.1,1
IN-181,34.2,10.3,1
IN-183,33.2,9.5,1
IA-001,26.6,7.2,1
IA-003,27.5,7.3,1
IA-005,22.9,8.1,1
IA-007,28.8,6.8,1
IA-009,24.8,6.7,1
IA-011,24.0,6.6,1
IA-013,23.0,6.7,1
IA-015,23.9,6.2,1
IA-017,22.4,7.4,1
IA-019,23.2,7.2,1
IA-021,19.9,4.7,1
IA-023,22.1,6.8,1
IA-025,21.8,5.3,1
IA-027,23.2,6.0,1
IA-029,26.9,7.2,1
IA-031,27.4,8.1,1
IA-033,20.1,6.4,1
IA-035,20.0,4.6,1
IA-037,22.0,8.0,1
IA-039,28.2,7.4,1
IA-041,18.3,4.3,1
IA-043,24.1,8.5,1
IA-045,28.5,8.8,1
IA-047,23.3,5.9,1
IA-049,25.4,6.2,1
IA-051,29.3,7.1,1
IA-053,28.6,7.0,1
IA-055,24.6,8.5,1
IA-057,30.2,7.9,1
IA-059,17.5,4.4,1
IA-061,25.5,8.3,1
IA-063,18.1,5.1,1
IA-065,22.6,8.0,1
IA-067,21.2,7.0,1
IA-069,21.4,6.7,1
IA-071,28.9,6.5,1
IA-073,23.8,6.1,1
IA-075,23.0,6.6,1
IA-077,25.2,6.6,1
IA-079,21.7,5.5,1
IA-081,19.4,5.6,1
IA-083,22.5,6.4,1
IA-085,25.1,5.8,1
IA-087,29.8,7.8,1
IA-089,21.1,8.4,1
IA-091,20.4,4.9,1
IA-093,21.8,5.2,1
IA-095,26.1,7.4,1
IA-097,27.5,8.8,1
IA-099,25.7,6.6,1
IA-101,28.4,6.9,1
IA-103,26.8,7.5,1
IA-105,26.8,8.9,1
IA-107,27.4,7.4,1
IA-109,19.4,5.6,1
IA-111,30.4,6.8,1
IA-113,24.9,7.4,1
IA-115,30.2,8.7,1
IA-117,28.2,7.1,1
IA-119,16.9,3.0,1
IA-121,27.0,7.0,1
IA-123,27.2,6.9,1
IA-125,26.9,6.0,1
IA-127,24.3,6.6,1
IA-129,27.8,6.2,1
IA-131,20.6,7.6,1
IA-133,23.5,5.3,1
IA-135,28.2,6.8,1
IA-137,28.0,7.2,1
IA-139,29.0,8.3,1
IA-141,17.9,3.7,1
IA-143,17.0,3.7,1
IA-145,29.2,7.6,1
IA-147,18.8,4.6,1
IA-149,19.7,3.6,1
IA-151,19.8,4.2,1
IA-153,25.2,5.6,1
IA-155,26.5,6.1,1
IA-157,25.7,7.1,1
IA-159,28.4,7.3,1
IA-161,21.6,5.3,1
IA-163,28.7,8.3,1
IA-165,25.0,6.4,1
IA-167,17.3,2.4,1
IA-169,23.8,6.1,1
IA-171,24.1,6.7,1
IA-173,28.8,7.7,1
IA-175,27.4,7.2,1
IA-177,29.2,6.5,1
IA-179,28.3,7.0,1
IA-181,26.8,6.0,1
IA-183,28.5,8.2,1
IA-185,28.6,7.0,1
IA-187,21.8,5.4,1
IA-189,19.1,6.0,1
IA-191,22.4,8.9,1
IA-193,21.8,4.6,1
IA-195,19.7,6.8,1
IA-197,20.5,5.5,1
KS-001,37.4,7.0,1
KS-003,36.0,6.6,1
KS-005,32.7,6.8,1
KS-007,37.3,5.9,1
KS-009,32.3,3.8,1
KS-011,38.0,7.4,1
KS-013,31.1,6.4,1
KS-015,36.3,6.3,1
KS-017,34.3,5.9,1
KS-019,38.3,5.9,1
KS-021,40.4,7.5,1
KS-023,26.5,-0.6,1
KS-025,36.9,5.0,1
KS-027,32.0,5.6,1
KS-029,31.6,5.6,1
KS-031,36.9,7.7,1
KS-033,37.0,5.5,1
KS-035,37.8,6.2,1
KS-037,38.9,7.2,1
KS-039,27.6,1.6,1
KS-041,33.5,6.0,1
KS-043,31.8,6.3,1
KS-045,34.5,6.6,1
KS-047,34.5,4.8,1
KS-049,37.2,5.9,1
KS-051,30.9,3.0,1
KS-053,33.6,5.5,1
KS-055,31.0,2.1,1
KS-057,34.0,3.8,1
KS-059,35.4,6.8,1
KS-061,33.3,6.2,1
KS-063,29.5,1.5,1
KS-065,29.4,2.0,1
KS-067,32.8,2.3,1
KS-069,32.6,2.8,1
KS-071,28.8,0.6,1
KS-073,36.4,6.6,1
KS-075,31.1,1.5,1
KS-077,38.2,6.5,1
KS-079,35.7,6.2,1
KS-081,32.6,2.4,1
KS-083,32.8,3.1,1
KS-085,32.1,6.5,1
KS-087,33.4,6.6,1
KS-089,30.5,5.9,1
KS-091,34.8,7.0,1
KS-093,31.7,2.5,1
KS-095,36.3,5.7,1
KS-097,35.7,5.2,1
KS-099,39.1,6.4,1
KS-101,30.0,1.7,1
KS-103,34.4,7.3,1
KS-105,32.6,5.6,1
KS-107,36.7,7.0,1
KS-109,28.9,0.9,1
KS-111,35.0,6.9,1
KS-113,34.6,6.2,1
KS-115,34.8,6.4,1
KS-117,29.5,5.0,1
KS-119,35.6,3.8,1
KS-121,35.6,7.0,1
KS-123,31.2,5.2,1
KS-125,38.7,6.0,1
KS-127,33.7,6.4,1
KS-129,33.8,1.8,1
KS-131,30.1,5.8,1
