FIPS,MEDIAN_INCOME
01001,65164
01001,93287
01001,60051
01001,91541
01001,87135
01001,101117
01001,86365
01001,87564
01001,91035
01001,86266
01001,84185
01001,124553
01001,72872
01001,89901
01001,78162
01001,106287
01001,59659
01001,70833
01001,70188
01001,59740
01001,75817
01001,74534
01001,46901
01001,66154
01001,55355
01001,86094
01001,86173
01001,55070
01001,50868
01001,47655
01001,68447
01001,65715
01001,72923
01001,62734
01001,46047
01001,61070
01001,38905
01001,67361
01001,47696
01001,54231
01001,53044
01001,63193
01001,55581
01001,75011
01001,48236
01001,71049
01001,47327
01001,56984
01001,60692
01001,69956
01001,73099
01001,65074
01001,53805
01001,53824
01001,48176
01001,75792
01001,58535
01001,80701
01001,68694
01001,82430
01001,88900
01001,79097
01001,52288
01001,77011
01001,68711
01001,81115
01001,67384
01001,70293
01001,63644
01001,47256
01001,106169
01001,69027
01001,88968
01001,80633
01001,83030
01001,73297
01001,55479
01001,44985
01001,64922
01001,66581
01001,74183
01001,79281
01001,52723
01001,43728
01001,38438
01001,50310
01001,44405
01001,55413
01001,68830
01001,77477
01001,79431
01001,39081
01001,50414
01001,50747
01001,53005
01001,47801
01001,47656
01001,94234
01001,56832
01001,50739
01001,59221
01001,55714
01001,72399
01001,50431
01001,72327
01001,72425
01001,48534
01001,69575
01001,59221
01001,47785
01001,105442
01001,52267
01001,48715
01001,58507
01001,55549
01001,98712
01001,50175
01001,49691
01001,96122
01001,50133
01001,94142
01001,60905
01001,42745
01001,58936
01001,88986
01001,50485
01001,77683
01001,50152
01001,56545
01001,46784
01001,80764
01001,53750
01001,61723
01001,85465
01001,49727
01001,50053
01001,53908
01001,58073
01001,108986
01001,62540
01001,138000
01001,52264
01001,91490
01001,72542
01001,55250
01001,68546
01001,61997
01001,54312
01001,84530
01001,84823
01001,65622
01001,77430
01001,33182
01001,65016
01001,89184
01001,57241
01001,62907
01001,81612
01001,80743
01001,53915
01001,85012
01001,59574
01001,40879
01001,46561
01001,36906
01001,54183
01001,68259
01001,68457
01001,44361
01001,49705
01001,88024
01001,59013
01001,50688
01001,64747
01001,55887
01001,72388
01001,54058
01001,50348
01001,37177
01001,58784
01001,50484
01001,56458
01001,58407
01001,51908
01001,82863
01001,51188
01001,85692
01001,67880
01001,56622
01001,73732
01001,115925
01001,69784
01001,94557
01001,68365
01001,75293
01001,56691
01001,84184
01001,55308
01001,47688
01001,64163
01001,36838
01001,61466
01001,25425
01001,53197
01001,72349
01001,59647
01001,53017
01001,49559
01001,60217
01001,52264
01001,35000
01001,41877
01001,45098
01001,48036
01001,52351
01001,41743
01001,44948
01001,43812
01001,60140
01001,53165
01001,54130
01001,58400
01001,43750
01001,54905
01001,39565
01001,55439
01001,65697
01001,50904
01001,55887
01001,82381
01001,44833
01001,46776
01001,44009
01001,49562
01001,40764
01001,45262
01001,69747
01001,64262
01001,48036
01001,52542
01001,46673
01001,57201
01001,77215
01001,104264
01001,86250
01001,93612
01001,95076
01001,88907
01001,59286
01001,64080
01001,67304
01001,56553
01001,76842
01001,84470
01001,77349
01001,65168
01001,76646
01001,62438
01001,43281
01001,55536
01001,72355
01001,66653
01001,67042
01001,52083
01001,57961
01001,56957
01001,58976
01001,65991
01001,72767
01001,66245
01001,62395
01001,60975
01001,82952
01001,69338
01001,77034
01001,65179
01001,52057
01001,49643
01001,66038
01001,58259
01001,70060
01001,71466
01001,72563
01001,59773
01001,65723
01001,59760
01001,49975
01001,90740
01001,65338
01001,76125
01001,53608
01001,64962
01001,43523
01001,61603
01001,81638
01001,72288
01001,65894
01001,92095
01001,60871
01001,64907
01001,63091
01001,59253
01001,70625
01001,57266
01001,82314
01001,56040
01001,81797
01001,67614
01001,69826
01001,69022
01001,64802
01001,74186
01001,110502
01001,56909
01001,59386
01001,75380
01001,57113
01001,60782
01001,53471
01001,58617
01001,54626
01001,60976
01001,93060
01001,61520
01001,65044
01001,57155
01001,65651
01001,69912
01001,62439
01001,45572
01001,71094
01001,61102
01001,79104
01001,74954
01001,65203
01001,100678
01001,68325
01001,110474
01001,53291
01001,108917
01001,72281
01001,53438
01001,68459
01001,70796
01001,64188
01001,50434
01001,102836
01001,78329
01001,62449
01001,68518
01001,74800
01001,60839
01001,69818
01001,62127
01001,62584
01001,81334
01001,71710
01001,101635
01001,61863
01001,65175
01001,71676
01001,79244
01001,64938
01001,59286
01001,87516
01001,58029
01001,62500
01001,43227
01001,77526
01001,68870
01001,60404
01001,66768
01001,70178
01001,54945
01001,74114
01001,66059
01001,73013
01001,68457
01001,62284
01001,61943
01001,76704
01001,56420
01001,54537
01001,53650
01001,64650
01001,75652
01001,53107
01001,53097
01001,64536
01001,107799
01001,65521
01001,64363
01001,85629
01001,63128
01001,68839
01001,80365
01001,61811
01001,47560
01001,104865
01001,72644
01001,64003
01001,56525
01001,72298
01001,67676
01001,63690
01001,48993
01001,68561
01001,82693
01001,74228
01001,70080
01001,56932
01001,71918
01001,65617
01001,56659
01001,78179
01001,62526
01001,79702
01001,62878
01001,67763
01001,54007
01001,59753
01001,117957
01001,91326
01001,72468
01001,99988
01001,60144
01001,62496
01001,62734
01001,70208
01001,79634
01001,54114
01001,59987
01001,68476
01001,87227
01001,58863
01001,73922
01001,83741
01001,68985
01001,70452
01001,65551
01001,62632
01001,63450
01001,68041
01001,65345
01001,61130
01001,63372
01001,66571
01001,79088
01001,68596
01001,70908
01001,67942
01001,64758
01001,59586
01001,66776
01001,61099
01001,66250
01001,85828
01001,79124
01001,59956
01001,76182
01001,61121
01001,71084
01001,64393
01001,64885
01001,54583
01001,71301
01001,70890
01001,62933
01001,71483
01001,54985
01001,65148
01001,58622
01001,78309
01001,79500
01001,60938
01001,59363
01001,52525
01001,68414
01001,74635
01001,95027
01001,61358
01001,56652
01001,69741
01001,66143
01001,75790
01001,66176
01001,68828
01001,66000
01001,51146
01001,54152
01001,84742
01001,64581
01001,79741
01001,83343
01001,78430
01001,66564
01001,69651
01001,66875
01001,68528
01001,61657
01001,79080
01001,65537
01001,64478
01001,73421
01001,66821
01001,64082
01001,62326
01001,65177
01001,65039
01001,102349
01001,79505
01001,57146
01001,76205
01001,60662
01001,74570
01001,75919
01001,65181
01001,58764
01001,64500
01001,63648
01001,73750
01001,59159
01001,83617
01001,79981
01001,71750
01001,70212
01001,64906
01001,77027
01001,64604
01001,67336
01001,66994
01001,62841
01001,72185
01001,71605
01001,70128
01001,56824
01001,74721
01001,73071
01001,60856
01001,65656
01001,59803
01001,76421
01001,80223
01001,67921
01001,72881
01001,89542
01001,69019
01001,78059
01001,72785
01001,87810
01001,68704
01001,62944
01001,72518
01001,63190
01001,69512
01001,68216
01001,69138
01001,57752
01001,68963
01001,81600
01001,63423
01001,81621
01001,71446
01001,64837
01001,69821
01001,70991
01001,76363
01001,67690
01001,84736
01001,69006
01001,67955
01001,67279
01001,56813
01001,60183
01001,60034
01001,92990
01001,71339
01001,59118
01001,68054
01001,63719
01001,75652
01001,70147
01001,76875
01001,64033
01001,57618
01001,64925
01001,62164
01001,57615
01001,56733
01001,67555
01001,58886
01001,80375
01001,54518
01001,54592
01001,58274
01001,55765
01001,65515
01001,63136
01001,57333
01001,67377
01001,49417
01001,58263
01001,50311
01001,52030
01001,67982
01001,72833
01001,68756
01001,53792
01001,56087
01001,59889
01001,66792
01001,72437
01001,70495
01001,72142
01001,57344
01001,63203
01001,52909
01001,72484
01001,77885
01001,78819
01001,58276
01001,61929
01001,55417
01001,73269
01001,69138
01001,63125
01001,72703
01001,77393
01001,52344
01001,107261
01001,74135
01001,59819
01001,73214
01001,55439
01001,53042
01001,86906
01001,53546
01001,59200
01001,71389
01001,59078
01001,77701
01001,63438
01001,70828
01001,74868
01001,88000
01001,58233
01001,53242
01001,56716
01001,65625
01001,77375
01001,55704
01001,66107
01001,50305
01001,70216
01001,59408
01001,76755
01001,63625
01001,61235
01001,87694
01001,64348
01001,65000
01001,60498
01001,53611
01001,63947
01001,59560
01001,61596
01001,60288
01001,53902
01001,63316
01001,67788
01001,67675
01001,62269
01001,66043
01001,70000
01001,64444
01001,57024
01001,63786
01001,70361
01001,61909
01001,60348
01001,73575
01001,73375
01001,70536
01001,60263
01001,62452
01001,71282
01001,57056
01001,48152
01001,60582
01001,50316
01001,59029
01001,71747
01001,64740
01001,49171
01001,54128
01001,32403
01001,94752
01001,56322
01001,60659
01001,61635
01001,59521
01001,41101
01001,53673
01001,77640
01001,52003
01001,57618
01001,51854
01001,77271
01001,62019
01001,57753
01001,50389
01001,41689
01001,54190
01001,67824
01001,39607
01001,42168
01001,47003
01001,39662
01001,65323
01001,54512
01001,40074
01001,43905
01001,67631
01001,49663
01001,41582
01001,66470
01001,36834
01001,62247
01001,62572
01001,67940
01001,50576
01001,49893
