TEMPERATURE_F,ANOMALY_F,MONTH,STATE_ABBR,FIPS
38.1,9.8,1,IL,01001
39.8,9.5,1,IL,01001
36.8,8.5,1,IL,01001
26.7,8.6,1,IL,01001
41.2,8.8,1,IL,01001
29.8,9.2,1,IL,01001
32.3,9.4,1,IL,01001
30.3,8.7,1,IL,01001
30.5,8.4,1,IL,01001
30.6,9.7,1,IL,01001
30.9,9.3,1,IL,01001
39.0,9.2,1,IL,01001
29.1,9.2,1,IL,01001
33.1,10.4,1,IL,01001
34.6,9.7,1,IL,01001
31.5,7.9,1,IL,01001
28.8,9.3,1,IL,01001
33.7,10.4,1,IL,01001
34.8,9.4,1,IL,01001
36.0,8.6,1,IL,01001
37.2,7.8,1,IL,01001
38.7,9.5,1,IL,01001
32.1,9.8,1,IL,01001
34.1,9.1,1,IL,01001
42.5,9.1,1,IL,01001
34.3,9.0,1,IL,01001
29.9,8.4,1,IL,01001
39.3,8.4,1,IL,01001
36.3,8.8,1,IL,01001
34.5,8.7,1,IL,01001
35.5,9.5,1,IL,01001
28.4,9.2,1,IL,01001
32.4,9.5,1,IL,01001
39.6,8.9,1,IL,01001
34.7,9.9,1,IL,01001
34.5,8.2,1,IL,01001
41.8,9.1,1,IL,01001
42.0,8.7,1,IL,01001
31.6,9.4,1,IL,01001
39.1,8.2,1,IL,01001
39.1,9.5,1,IL,01001
29.4,8.4,1,IL,01001
38.4,8.1,1,IL,01001
41.1,9.1,1,IL,01001
35.0,9.1,1,IL,01001
32.7,8.0,1,IL,01001
34.8,8.4,1,IL,01001
36.3,9.5,1,IL,01001
30.7,9.0,1,IL,01001
27.5,9.3,1,IL,01001
33.7,10.0,1,IL,01001
40.7,8.6,1,IL,01001
34.2,9.0,1,IL,01001
39.7,9.0,1,IL,01001
30.2,8.0,1,IL,01001
39.1,9.0,1,IL,01001
39.8,9.5,1,IL,01001
40.8,9.2,1,IL,01001
28.9,8.8,1,IL,01001
31.4,8.9,1,IL,01001
40.8,9.1,1,IL,01001
28.5,9.5,1,IL,01001
33.0,10.4,1,IL,01001
34.9,10.4,1,IN,01001
34.0,10.0,1,IN,01001
38.8,10.1,1,IN,01001
33.6,9.9,1,IN,01001
35.7,10.3,1,IN,01001
34.9,9.8,1,IN,01001
37.7,9.8,1,IN,01001
35.1,10.5,1,IN,01001
34.8,10.6,1,IN,01001
39.8,8.8,1,IN,01001
37.8,10.5,1,IN,01001
34.9,10.1,1,IN,01001
39.6,8.4,1,IN,01001
39.1,9.8,1,IN,01001
38.5,9.2,1,IN,01001
38.3,10.0,1,IN,01001
32.8,9.7,1,IN,01001
36.5,10.7,1,IN,01001
39.4,8.9,1,IN,01001
32.7,9.9,1,IN,01001
36.8,9.9,1,IN,01001
40.2,8.9,1,IN,01001
35.0,9.7,1,IN,01001
37.8,9.7,1,IN,01001
34.0,10.8,1,IN,01001
40.0,9.0,1,IN,01001
35.7,10.4,1,IN,01001
38.5,10.6,1,IN,01001
35.8,9.9,1,IN,01001
37.0,10.4,1,IN,01001
40.6,9.0,1,IN,01001
35.6,9.5,1,IN,01001
36.3,10.6,1,IN,01001
35.2,10.4,1,IN,01001
34.4,9.8,1,IN,01001
39.2,9.8,1,IN,01001
33.4,10.1,1,IN,01001
35.6,10.4,1,IN,01001
39.6,9.6,1,IN,01001
38.9,9.5,1,IN,01001
37.0,9.9,1,IN,01001
39.4,9.8,1,IN,01001
33.2,10.0,1,IN,01001
32.6,9.9,1,IN,01001
