STATE,MONTH_NAME,EVENT_TYPE,CZ_NAME,DAMAGE_PROPERTY,STORM_AREA_SQMILES,DURATION_MINUTES,MONTH
TEXAS,MAY,Hail,ECTOR,0.0,0.0,10,5
TEXAS,MAY,Thunderstorm Wind,WINKLER,0.0,0.0,5,5
TEXAS,MAY,Thunderstorm Wind,BORDEN,0.0,0.0,5,5
TEXAS,MAY,Hail,WINKLER,0.0,0.0,10,5
TEXAS,MAY,Thunderstorm Wind,BREWSTER,0.0,0.0,5,5
NEW MEXICO,MAY,Tornado,LEA,0.0,0.0,2,5
NEW MEXICO,MAY,Tornado,LEA,0.0,0.0,4,5
NEW MEXICO,MAY,Hail,LEA,0.0,0.0,5,5
TEXAS,MAY,Hail,ECTOR,0.0,0.0,10,5
TEXAS,MAY,Hail,ECTOR,0.0,0.0,10,5
TEXAS,MAY,Hail,ECTOR,15000.0,0.0,10,5
TEXAS,MAY,Thunderstorm Wind,SCURRY,0.0,0.0,5,5
TEXAS,MAY,Flash Flood,HOWARD,0.0,13.2209414231839,30,5
TEXAS,MAY,Flash Flood,HOWARD,0.0,0.041317319878282674,30,5
TEXAS,MAY,Hail,MITCHELL,0.0,0.0,10,5
TEXAS,MAY,Hail,HOWARD,0.0,0.0,10,5
TEXAS,MAY,Hail,WINKLER,0.0,0.0,10,5
NORTH CAROLINA,MAY,Heavy Rain,BRUNSWICK,0.0,0.0,720,5
NEW MEXICO,MAY,Hail,GRANT,0.0,0.0,0,5
FLORIDA,MAY,Hail,CITRUS,0.0,0.0,0,5
FLORIDA,MAY,Hail,CITRUS,0.0,0.0,0,5
FLORIDA,MAY,Thunderstorm Wind,POLK,0.0,0.0,0,5
FLORIDA,MAY,Hail,LEVY,0.0,0.0,0,5
TEXAS,JUNE,Hail,DALLAM,0.0,0.0,0,6
NORTH CAROLINA,MAY,Heavy Rain,BRUNSWICK,0.0,0.0,375,5
NORTH CAROLINA,MAY,Heavy Rain,NEW HANOVER,0.0,0.0,353,5
NEBRASKA,JULY,Hail,PLATTE,,0.0,0,7
NEBRASKA,JULY,Hail,PLATTE,,0.0,0,7
OHIO,JULY,Thunderstorm Wind,LUCAS,0.0,0.0,0,7
MINNESOTA,SEPTEMBER,Thunderstorm Wind,CARVER,0.0,0.0,0,9
MINNESOTA,SEPTEMBER,Thunderstorm Wind,HENNEPIN,0.0,0.0,0,9
OHIO,JULY,Thunderstorm Wind,WOOD,0.0,0.0,0,7
OHIO,JULY,Thunderstorm Wind,OTTAWA,0.0,0.0,0,7
OHIO,JULY,Thunderstorm Wind,ERIE,0.0,0.0,0,7
OHIO,JULY,Thunderstorm Wind,LAKE,0.0,0.0,0,7
