FIPS,POPULATION
01001,272574
01001,24468
01001,45104
01001,19871
01001,23300
01001,34648
01001,20766
01001,9914
01001,187399
01001,15329
01001,7028
01001,179908
01001,15452
01001,106201
01001,30901
01001,8469
01001,64650
01001,28167
01001,66377
01001,28261
01001,24709
01001,34388
01001,7471
01001,3641
01001,14038
01001,12242
01001,5622
01001,25698
01001,130693
01001,26669
01001,25118
01001,20645
01001,20684
01001,14301
01001,9858
01001,20677
01001,13115
01001,18427
01001,42785
01001,11587
01001,11868
01001,9690
01001,16446
01001,17069
01001,46383
01001,16289
01001,104136
01001,9127
01001,7669
01001,17549
01001,38597
01001,17844
01001,98948
01001,9316
01001,19393
01001,15502
01001,9977
01001,6570
01001,8722
01001,12352
01001,10646
01001,14893
01001,10718
01001,16729
01001,14645
01001,20228
01001,9459
01001,9573
01001,6944
01001,16547
01001,19429
01001,37864
01001,15676
01001,154881
01001,20799
01001,9964
01001,14610
01001,33175
01001,229463
01001,10710
01001,8685
01001,12087
01001,16760
01001,22045
01001,33551
01001,39971
01001,14563
01001,10548
01001,8619
01001,7546
01001,10254
01001,42735
01001,14103
01001,6114
01001,15168
01001,8902
01001,25699
01001,7040
01001,497441
01001,93407
01001,18582
01001,4664
01001,9759
01001,174302
01001,11757
01001,35984
01001,98592
01001,16982
01001,5901
01001,12038
01001,7236
01001,35265
01001,53484
01001,22539
01001,6518
01001,36848
01001,10648
01001,19972
01001,105760
01001,7380
01001,12817
01001,12491
01001,7819
01001,16211
01001,4153
01001,25275
01001,14384
01001,9415
01001,67916
01001,2579
01001,3370
01001,19236
01001,2628
01001,1987
01001,8071
01001,8973
01001,8304
01001,1685
01001,34487
01001,38963
01001,2746
01001,18423
01001,7492
01001,119547
01001,2817
01001,2464
01001,28870
01001,6366
01001,38001
01001,34133
01001,25994
01001,35895
01001,2796
01001,2406
01001,7284
01001,5696
01001,1296
01001,5956
01001,2485
01001,5446
01001,33823
01001,3695
01001,1676
01001,13277
01001,18391
01001,2909
01001,614764
01001,3910
01001,7284
01001,2422
01001,19949
01001,1497
01001,82493
01001,2924
01001,9723
01001,2720
01001,32145
01001,30130
01001,11795
01001,10001
01001,3949
01001,34625
01001,5767
01001,31143
01001,5388
01001,2647
01001,10213
01001,15715
01001,2659
01001,5392
01001,15780
01001,3473
01001,5782
01001,6220
01001,4874
01001,25808
01001,9120
01001,2533
01001,61693
01001,4662
01001,9389
01001,71710
01001,4869
01001,2957
01001,6717
01001,53801
01001,5071
01001,524810
01001,21640
01001,178315
01001,2442
01001,5919
01001,3579
01001,4004
01001,2018
01001,5212
01001,22386
01001,7913
01001,2778
01001,6961
01001,1459
01001,5519
01001,2115
01001,8559
01001,3118
01001,167277
01001,19016
01001,21029
01001,24098
01001,7678
01001,44670
01001,12812
01001,23878
01001,137676
01001,20174
01001,48043
01001,30708
01001,8427
01001,13438
01001,20722
01001,83209
01001,12373
01001,12631
01001,37882
01001,93193
01001,4763
01001,10878
01001,26515
01001,15951
01001,72599
01001,37004
01001,20105
01001,9240
01001,8972
01001,5948
01001,103195
01001,12243
01001,7336
01001,14079
01001,321122
01001,15221
01001,35342
01001,51563
01001,6440
01001,8749
01001,17346
01001,25238
01001,36612
01001,26586
01001,11278
01001,35639
01001,9032
01001,111452
01001,26185
01001,18971
01001,19470
01001,44493
01001,15774
01001,4470
01001,45143
01001,13003
01001,777392
01001,53792
01001,22464
01001,169817
01001,14046
01001,30034
01001,15028
01001,62731
01001,16171
01001,7375
01001,10261
01001,21146
01001,13028
01001,24415
01001,8941
01001,27731
01001,8831
01001,67584
01001,16905
01001,9127
01001,94064
01001,11495
01001,19680
01001,31728
01001,11181
01001,16995
01001,30032
01001,6203
01001,22824
01001,10372
01001,11318
01001,28271
01001,13938
01001,30712
01001,47102
01001,7655
01001,23704
01001,68600
01001,11270
01001,4021
01001,14683
01001,27847
01001,57466
01001,13057
01001,65503
01001,2239
01001,16144
01001,24525
01001,18117
01001,58269
01001,48599
01001,19786
01001,19875
01001,26205
01001,12330
01001,14211
01001,8531
01001,13379
01001,137549
01001,12091
01001,19592
01001,12873
01001,36755
01001,6484
01001,27017
01001,57218
01001,22552
01001,128593
01001,20720
01001,39176
01001,36646
01001,12769
01001,129134
01001,232973
01001,208668
01001,9563
01001,5222
01001,8738
01001,14019
01001,18325
01001,26897
01001,452821
01001,7195
01001,19378
01001,32162
01001,19590
01001,22123
01001,69194
01001,29950
01001,14939
01001,432484
01001,32083
01001,245075
01001,96670
01001,14804
01001,48160
01001,145583
01001,9757
01001,24967
01001,37047
01001,376035
01001,158916
01001,23070
01001,20438
01001,128470
01001,7529
01001,19908
01001,22085
01001,44172
01001,51863
01001,10849
01001,19797
01001,41342
01001,82128
01001,51559
01001,48455
01001,269331
01001,135218
01001,3992
01001,107362
01001,20914
01001,57031
01001,47764
01001,45238
01001,36189
01001,27666
01001,9622
01001,15381
01001,13506
01001,112323
01001,67227
01001,305940
01001,30145
01001,56084
01001,125614
01001,40860
01001,35840
01001,58728
01001,153571
01001,17125
01001,37093
01001,50852
01001,40006
01001,31261
01001,214731
01001,67762
01001,590936
01001,849586
01001,93791
01001,33406
01001,174318
01001,104366
01001,168710
01001,32612
01001,280341
01001,28713
01001,262509
01001,333916
01001,19265
01001,1057586
01001,955584
01001,50951
01001,114372
01001,24685
01001,37707
01001,155033
01001,104117
01001,53279
01001,577193
01001,230073
01001,128047
01001,578436
01001,20751
01001,807258
01001,70922
01001,462853
01001,156595
01001,1622896
01001,14299
01001,724540
01001,531889
01001,782172
01001,861664
01001,10310
01001,8813
01001,120913
01001,28908
01001,23876
01001,15054
01001,8249
01001,62982
01001,103235
01001,18177
01001,153411
01001,44914
01001,133846
01001,51606
01001,26143
01001,25778
01001,36448
01001,31109
01001,79419
01001,13271
01001,36829
01001,25940
01001,109000
01001,34159
01001,404087
01001,25543
01001,14348
01001,95757
01001,41478
01001,45658
01001,37428
01001,31258
01001,282015
01001,66706
01001,25333
01001,11650
01001,64475
01001,160187
01001,261437
01001,18116
01001,658844
01001,2106
01001,12393
01001,88703
01001,22607
01001,98823
01001,195143
01001,6325
01001,10865
01001,877624
01001,25247
01001,66430
01001,29177
01001,40321
01001,23295
01001,83641
01001,15156
01001,155001
01001,67174
01001,9372
01001,175378
01001,50414
01001,1272294
01001,26788
01001,20853
01001,5870
01001,23122
01001,8338
01001,25352
01001,298614
01001,13142
01001,23639
01001,189210
01001,160089
01001,60870
01001,40574
01001,8093
01001,68061
01001,53071
01001,75681
01001,368394
01001,1773767
01001,33868
01001,15930
01001,367095
01001,35260
01001,46421
01001,41458
01001,5152
01001,69386
01001,25826
01001,36457
01001,108622
01001,30688
01001,12388
01001,57434
01001,65628
01001,8579
01001,5633
01001,11458
01001,67113
01001,442204
01001,20962
01001,39354
01001,13909
01001,21346
01001,30752
01001,47844
01001,6108
01001,1268903
01001,18768
01001,21700
01001,41934
01001,45141
01001,9964
01001,16261
01001,43757
01001,4163
01001,11950
01001,6694
01001,10911
01001,3800
01001,28936
01001,5594
01001,25498
01001,36771
01001,5371
01001,8961
01001,19864
01001,23422
01001,26912
01001,34131
01001,40069
01001,8119
01001,34350
01001,22067
01001,6411
01001,163425
01001,60281
01001,13877
01001,29411
01001,9352
01001,30905
01001,11363
01001,544438
01001,3922
01001,15383
01001,14587
01001,67389
01001,9628
01001,15301
01001,200056
01001,152957
01001,99178
01001,14933
01001,159358
01001,37413
01001,9686
01001,9787
01001,25402
01001,3279
01001,21519
01001,14135
01001,18958
01001,272298
01001,11169
01001,6413
01001,49705
01001,145270
01001,9509
01001,29098
01001,34500
01001,12611
01001,17685
01001,7592
01001,30163
01001,13029
01001,9828
01001,16994
01001,8172
01001,8908
01001,15424
01001,18462
01001,20808
01001,27994
01001,18226
01001,188598
01001,78027
01001,7655
01001,24870
01001,13595
01001,21342
01001,46057
01001,209443
01001,222494
01001,16491
01001,7570
01001,1095
01001,23942
01001,144437
01001,16211
01001,7127
01001,11183
01001,66839
01001,8855
01001,56920
01001,65081
01001,71984
01001,11883
01001,21288
01001,83138
01001,27432
01001,34830
01001,58187
01001,110303
01001,24303
01001,33899
01001,33928
01001,9708
01001,28927
01001,21151
01001,10136
01001,51473
01001,32965
01001,56781
01001,11459
01001,39930
01001,31312
01001,24999
01001,5908
01001,158218
01001,27754
01001,3848
01001,25817
01001,14193
01001,18515
01001,25328
01001,12363
01001,28135
01001,21621
01001,18738
01001,9586
01001,28009
01001,13864
01001,43623
01001,43674
01001,19699
01001,9942
01001,8376
01001,17609
01001,12439
01001,26837
01001,25224
01001,18086
01001,5216
01001,24688
01001,34831
01001,11685
01001,16121
01001,19887
01001,10591
01001,185874
01001,83855
01001,42166
01001,8890
01001,44541
01001,43416
01001,82180
01001,8459
01001,5269
01001,109393
01001,14440
01001,7406
01001,91229
01001,6680
01001,255566
01001,21259
01001,76924
01001,16835
01001,22890
01001,7627
01001,17344
01001,8449
01001,11176
01001,14506
01001,11850
01001,27795
01001,105316
01001,14774
01001,6224
01001,301121
01001,9822
01001,8198
01001,22194
01001,8501
01001,4254
01001,10141
01001,40168
01001,9482
01001,717021
01001,123532
01001,228227
01001,54331
01001,3760
01001,36245
01001,32974
01001,38392
01001,9945
01001,61636
01001,11850
01001,14330
01001,23492
01001,15163
01001,12665
01001,8435
01001,28493
01001,3501
01001,25081
01001,12079
01001,15303
01001,8672
01001,11422
01001,21430
01001,16041
01001,59490
01001,20959
01001,8704
01001,13379
01001,8773
01001,15232
01001,18947
01001,43205
01001,44948
01001,17623
01001,108751
01001,32109
01001,53850
01001,4675
01001,10394
01001,24524
01001,23149
01001,6058
01001,10755
01001,409830
01001,9451
01001,18551
01001,66864
01001,996618
01001,23177
01001,4044
01001,4698
