FIPS,POPULATION
21103,15774
21105,4470
21107,45143
21109,13003
21111,777392
21113,53792
21115,22464
21117,169817
21119,14046
21121,30034
21123,15028
21125,62731
21127,16171
21129,7375
21131,10261
21133,21146
21135,13028
21137,24415
21139,8941
21141,27731
21143,8831
21145,67584
21147,16905
21149,9127
21151,94064
21153,11495
21155,19680
21157,31728
21159,11181
21161,16995
21163,30032
21165,6203
21167,22824
21169,10372
21171,11318
21173,28271
21175,13938
21177,30712
21179,47102
21181,7655
21183,23704
21185,68600
21187,11270
21189,4021
21191,14683
21193,27847
21195,57466
21197,13057
21199,65503
21201,2239
21203,16144
21205,24525
21207,18117
21209,58269
21211,48599
21213,19786
21215,19875
21217,26205
21219,12330
21221,14211
21223,8531
21225,13379
21227,137549
21229,12091
21231,19592
21233,12873
21235,36755
21237,6484
21239,27017
22001,57218
22003,22552
22005,128593
22007,20720
22009,39176
22011,36646
22013,12769
22015,129134
22017,232973
22019,208668
22021,9563
22023,5222
22025,8738
22027,14019
22029,18325
22031,26897
22033,452821
22035,7195
22037,19378
22039,32162
22041,19590
22043,22123
22045,69194
22047,29950
22049,14939
22051,432484
22053,32083
22055,245075
22057,96670
22059,14804
22061,48160
22063,145583
22065,9757
22067,24967
22069,37047
22071,376035
22073,158916
22075,23070
22077,20438
22079,128470
22081,7529
22083,19908
22085,22085
22087,44172
22089,51863
22091,10849
22093,19797
22095,41342
22097,82128
22099,51559
22101,48455
22103,269331
22105,135218
22107,3992
22109,107362
22111,20914
22113,57031
22115,47764
22117,45238
22119,36189
22121,27666
22123,9622
22125,15381
22127,13506
23001,112323
23003,67227
23005,305940
23007,30145
23009,56084
23011,125614
23013,40860
23015,35840
23017,58728
23019,153571
23021,17125
23023,37093
23025,50852
23027,40006
23029,31261
23031,214731
24001,67762
24003,590936
24005,849586
24009,93791
24011,33406
24013,174318
24015,104366
24017,168710
24019,32612
24021,280341
24023,28713
24025,262509
24027,333916
24029,19265
24031,1057586
24033,955584
24035,50951
24037,114372
24039,24685
24041,37707
24043,155033
24045,104117
24047,53279
24510,577193
25001,230073
25003,128047
25005,578436
25007,20751
25009,807258
25011,70922
25013,462853
25015,156595
