STATE,MONTH_NAME,EVENT_TYPE,CZ_NAME,DAMAGE_PROPERTY,STORM_AREA_MILES,DURATION_MINUTES,MONTH,FIPS
TEXAS,APRIL,Hail,MCLENNAN,500000.0,0.0,0,4,48309
TEXAS,APRIL,Hail,MCLENNAN,2000.0,0.0,0,4,48309
OKLAHOMA,MARCH,Hail,MCCURTAIN,0.0,0.0,0,3,40089
OKLAHOMA,MARCH,Hail,MCCURTAIN,0.0,0.0,0,3,40089
OKLAHOMA,MARCH,Hail,MCCURTAIN,0.0,0.0,0,3,40089
CALIFORNIA,MARCH,Flood,RIVERSIDE,0.0,0.004757080529460939,60,3,06065
CALIFORNIA,MARCH,Flood,SAN BERNARDINO,0.0,0.3297793265725588,60,3,06071
CALIFORNIA,MARCH,Flood,SAN DIEGO,0.0,0.0749320507278379,60,3,06073
ARIZONA,MAY,Heavy Rain,YAVAPAI,0.0,215.81567626110157,153,5,04025
ARIZONA,MAY,Flash Flood,YAVAPAI,0.0,0.9025338178391408,120,5,04025
WYOMING,JUNE,Hail,PLATTE,,0.0,0,6,56031
CALIFORNIA,MARCH,Flood,TULARE,1000.0,0.0011519433450310312,180,3,06107
CALIFORNIA,MARCH,Flood,TULARE,0.0,0.0050055687667780215,180,3,06107
CALIFORNIA,MARCH,Flood,MADERA,0.0,0.11334978024428188,180,3,06039
CALIFORNIA,MARCH,Thunderstorm Wind,FRESNO,25000.0,62.4623751602773,197,3,06019
SOUTH CAROLINA,MARCH,Heavy Rain,SUMTER,,0.0,0,3,45085
GEORGIA,MARCH,Thunderstorm Wind,COLUMBIA,,0.0,5,3,13073
GEORGIA,MARCH,Hail,COLUMBIA,,0.0,5,3,13073
GEORGIA,MARCH,Hail,MCDUFFIE,100.0,0.0,2,3,13189
TENNESSEE,MARCH,Thunderstorm Wind,GILES,50000.0,0.0,0,3,47055
TENNESSEE,MARCH,Thunderstorm Wind,GILES,25000.0,0.0,0,3,47055
NORTH CAROLINA,JULY,Thunderstorm Wind,ALAMANCE,0.0,0.0,0,7,37001
NORTH CAROLINA,JULY,Thunderstorm Wind,ORANGE,0.0,0.0,0,7,37135
CALIFORNIA,MARCH,Flood,FRESNO,0.0,0.0017126413177251183,180,3,06019
CALIFORNIA,MARCH,Flood,MARIPOSA,0.0,4.706676780636014,180,3,06043
CALIFORNIA,MARCH,Flood,TULARE,0.0,0.15494130006616516,180,3,06107
CALIFORNIA,MARCH,Flood,FRESNO,0.0,0.06793370408273958,180,3,06019
CALIFORNIA,MARCH,Flood,TULARE,0.0,0.0012324664541461532,180,3,06107
CALIFORNIA,MARCH,Flood,TULARE,0.0,0.07212024439173971,180,3,06107
CALIFORNIA,MARCH,Flood,MARIPOSA,0.0,0.011570693393432606,180,3,06043
SOUTH DAKOTA,APRIL,Flood,MCPHERSON,0.0,0.0,1439,4,46089
SOUTH DAKOTA,APRIL,Flood,ROBERTS,150000.0,0.0,1439,4,46109
LOUISIANA,JANUARY,Tornado,WEST CARROLL,100000.0,4.441423875570463,5,1,22123
LOUISIANA,JANUARY,Thunderstorm Wind,MOREHOUSE,25000.0,0.0,1,1,22067
KENTUCKY,MARCH,Flash Flood,HENDERSON,0.0,0.0633341059662935,360,3,21101
KENTUCKY,MARCH,Tornado,UNION,115000.0,21.162774023597446,6,3,21225
WISCONSIN,MAY,Flood,TREMPEALEAU,0.0,0.013406753021036617,600,5,55121
OHIO,MARCH,Tornado,MERCER,30000.0,4.904625310732393,3,3,39107
OHIO,MARCH,Tornado,PREBLE,200000.0,2.7368218567261615,2,3,39135
NEBRASKA,JULY,Thunderstorm Wind,CUSTER,0.0,0.0,0,7,31041
NEBRASKA,JULY,Thunderstorm Wind,CUSTER,0.0,0.0,0,7,31041
NEBRASKA,JULY,Thunderstorm Wind,CHERRY,0.0,0.0,0,7,31031
NEBRASKA,JULY,Thunderstorm Wind,CHERRY,0.0,0.0,0,7,31031
NEBRASKA,JULY,Thunderstorm Wind,CUSTER,,0.0,0,7,31041
CALIFORNIA,MARCH,Flood,SACRAMENTO,0.0,0.015659044791782463,480,3,06067
CALIFORNIA,MARCH,Flood,SACRAMENTO,0.0,0.0459254674341366,480,3,06067
TEXAS,MAY,Thunderstorm Wind,TOM GREEN,0.0,0.0,0,5,48451
ILLINOIS,MARCH,Tornado,MACOUPIN,10000.0,0.22105070832240226,1,3,17117
TEXAS,MAY,Hail,SAN SABA,0.0,0.0,0,5,48411
TEXAS,MAY,Hail,SAN SABA,0.0,0.0,0,5,48411
TEXAS,MAY,Hail,MCCULLOCH,0.0,0.0,0,5,48307
IOWA,MARCH,Hail,CLARKE,0.0,0.0,0,3,19039
IOWA,MARCH,Hail,WARREN,0.0,0.0,0,3,19181
IOWA,MARCH,Hail,CLARKE,0.0,0.0,0,3,19039
IOWA,MARCH,Thunderstorm Wind,CLARKE,1000.0,0.0,0,3,19039
IOWA,MARCH,Hail,MARION,0.0,0.0,0,3,19125
IOWA,MARCH,Hail,MARION,0.0,0.0,0,3,19125
IOWA,MARCH,Hail,MARION,0.0,0.0,0,3,19125
TEXAS,MARCH,Hail,COLEMAN,0.0,0.0,0,3,48083
TEXAS,MARCH,Hail,MCCULLOCH,0.0,0.0,0,3,48307
TEXAS,MARCH,Hail,CONCHO,0.0,0.0,5,3,48095
TEXAS,MARCH,Thunderstorm Wind,TAYLOR,0.0,0.0,0,3,48441
TEXAS,MARCH,Thunderstorm Wind,TAYLOR,0.0,0.0,0,3,48441
MISSOURI,MARCH,Flood,WRIGHT,0.0,0.03351834820684891,415,3,29229
MISSOURI,MARCH,Flood,OREGON,0.0,0.00710108372844761,404,3,29149
MISSOURI,MARCH,Flood,OZARK,0.0,0.3375339882407302,355,3,29153
TEXAS,MARCH,Hail,HOOD,0.0,0.0,0,3,48221
TEXAS,MARCH,Hail,JOHNSON,0.0,0.0,0,3,48251
TEXAS,MARCH,Hail,TARRANT,0.0,0.0,0,3,48439
TEXAS,MARCH,Hail,JOHNSON,0.0,0.0,0,3,48251
TEXAS,MARCH,Hail,TARRANT,0.0,0.0,0,3,48439
TEXAS,MARCH,Hail,TARRANT,0.0,0.0,0,3,48439
TEXAS,MARCH,Hail,DALLAS,0.0,0.0,0,3,48113
TEXAS,MARCH,Hail,DALLAS,0.0,0.0,0,3,48113
MICHIGAN,JUNE,Thunderstorm Wind,SHIAWASSEE,0.0,0.0,0,6,26155
MICHIGAN,JUNE,Thunderstorm Wind,WASHTENAW,0.0,0.0,0,6,26161
MICHIGAN,JUNE,Thunderstorm Wind,LENAWEE,0.0,0.0,0,6,26091
WASHINGTON,MAY,Flash Flood,GRANT,500.0,0.0012290084850830843,60,5,53025
ARIZONA,SEPTEMBER,Flash Flood,COCONINO,0.0,2.0055636026968036,30,9,04005
GEORGIA,JANUARY,Tornado,WARREN,0.0,92.4413804720618,19,1,13301
WASHINGTON,MAY,Lightning,SPOKANE,250.0,0.0,0,5,53063
IDAHO,MAY,Thunderstorm Wind,BONNER,100.0,0.0,15,5,16017
IDAHO,MAY,Flash Flood,KOOTENAI,500.0,0.000705843694540797,153,5,16055
IDAHO,MAY,Flash Flood,LATAH,250.0,0.00019613197953168628,181,5,16057
WASHINGTON,MAY,Thunderstorm Wind,OKANOGAN,0.0,0.0,10,5,53047
WASHINGTON,MAY,Flood,OKANOGAN,250.0,0.0017401688303218495,240,5,53047
WASHINGTON,MAY,Flood,OKANOGAN,250.0,0.0028424509394424087,300,5,53047
GEORGIA,JANUARY,Tornado,JASPER,,24.43932614725555,8,1,13159
WASHINGTON,MAY,Thunderstorm Wind,PEND OREILLE,0.0,0.0,9,5,53051
IDAHO,MAY,Thunderstorm Wind,LATAH,0.0,0.0,10,5,16057
IDAHO,MAY,Flood,NEZ PERCE,2000.0,9.92045084808417e-05,432,5,16069
IDAHO,MAY,Thunderstorm Wind,NEZ PERCE,500.0,0.0,160,5,16069
TEXAS,APRIL,Hail,MCLENNAN,60000.0,0.0,0,4,48309
MICHIGAN,JUNE,Thunderstorm Wind,GENESEE,0.0,0.0,0,6,26049
TEXAS,APRIL,Hail,MCLENNAN,4000000.0,0.0,0,4,48309
MISSOURI,MAY,Hail,JASPER,0.0,0.0,0,5,29097
TEXAS,APRIL,Hail,BOSQUE,100000.0,0.0,0,4,48035
TEXAS,APRIL,Hail,MCLENNAN,0.0,0.0,0,4,48309
LOUISIANA,JANUARY,Tornado,TERREBONNE,60000.0,3.943910224719979,8,1,22109
LOUISIANA,JUNE,Tornado,ST. CHARLES,0.0,6.206823309726827,7,6,22089
NEBRASKA,MAY,Flash Flood,BURT,0.0,0.000283911354647028,30,5,31021
NEBRASKA,MAY,Tornado,BURT,,0.016920833134891757,1,5,31021
LOUISIANA,JUNE,Hail,LIVINGSTON,0.0,0.0,0,6,22063
CALIFORNIA,MARCH,Flood,RIVERSIDE,0.0,0.09187360801425812,60,3,06065
CALIFORNIA,MARCH,Flood,RIVERSIDE,0.0,0.017194044864465997,60,3,06065
CALIFORNIA,MARCH,Thunderstorm Wind,SAN DIEGO,1000.0,0.0,360,3,06073
CALIFORNIA,MARCH,Flood,FRESNO,0.0,0.044982538962301165,180,3,06019
GEORGIA,MARCH,Hail,COLUMBIA,,0.0,3,3,13073
NEBRASKA,JUNE,Hail,CHERRY,,0.0,0,6,31031
NEBRASKA,JUNE,Hail,PERKINS,,0.0,0,6,31135
CALIFORNIA,MARCH,Flood,TULARE,0.0,0.0005756423464725617,180,3,06107
CALIFORNIA,MARCH,Flood,TULARE,0.0,0.01919445325169521,180,3,06107
CALIFORNIA,MARCH,Flood,TULARE,0.0,0.012085114182741018,180,3,06107
CALIFORNIA,MARCH,Flood,MADERA,0.0,0.0003420672928038359,180,3,06039
CALIFORNIA,MARCH,Flood,TULARE,0.0,0.0004999678983360491,180,3,06107
CALIFORNIA,MARCH,Flood,FRESNO,0.0,0.001980512942793245,180,3,06019
CALIFORNIA,MARCH,Flood,TULARE,0.0,0.035491584059664454,180,3,06107
CALIFORNIA,MARCH,Flood,TULARE,0.0,0.0053155799255393005,180,3,06107
KANSAS,MAY,Tornado,RAWLINS,0.0,1.4652507473227943,3,5,20153
KANSAS,MAY,Tornado,WALLACE,,4.455847837026607,15,5,20199
FLORIDA,MARCH,Hail,OSCEOLA,0.0,0.0,0,3,12097
SOUTH DAKOTA,APRIL,Flood,HYDE,0.0,22.759966062414378,1439,4,46069
SOUTH DAKOTA,JUNE,Thunderstorm Wind,STANLEY,0.0,0.0,0,6,46117
SOUTH DAKOTA,APRIL,Flood,MARSHALL,150000.0,0.0,1439,4,46091
ARKANSAS,MARCH,Hail,MADISON,0.0,0.0,0,3,05087
OKLAHOMA,MARCH,Hail,OTTAWA,0.0,0.0,0,3,40115
FLORIDA,MARCH,Tornado,BAY,0.0,9.870874854088223,8,3,12005
MISSOURI,MARCH,Flash Flood,CARTER,0.0,109.9041011470532,397,3,29035
ILLINOIS,MARCH,Flash Flood,JACKSON,0.0,2.431607764768778,271,3,17077
ILLINOIS,MARCH,Flash Flood,SALINE,0.0,0.0,180,3,17165
KENTUCKY,MARCH,Flood,UNION,0.0,4.217786779528599,1200,3,21225
KENTUCKY,MARCH,Tornado,UNION,50000.0,1.5093923429712954,1,3,21225
CALIFORNIA,MARCH,Flood,SACRAMENTO,0.0,0.008355020254695101,0,3,06067
CALIFORNIA,MARCH,Flood,SOLANO,0.0,0.04533662807687006,600,3,06095
ILLINOIS,MARCH,Tornado,MONTGOMERY,15000.0,10.697003470261345,5,3,17135
ILLINOIS,MARCH,Tornado,MARION,2000000.0,10.412909323831542,7,3,17121
IOWA,MARCH,Hail,CERRO GORDO,0.0,0.0,0,3,19033
IOWA,MARCH,Thunderstorm Wind,WAPELLO,0.0,0.0,0,3,19179
IOWA,MARCH,Hail,CERRO GORDO,0.0,0.0,0,3,19033
IOWA,MARCH,Hail,CERRO GORDO,0.0,0.0,0,3,19033
TEXAS,MARCH,Thunderstorm Wind,MENARD,0.0,0.0,0,3,48327
TEXAS,MARCH,Thunderstorm Wind,BROWN,0.0,0.0,1,3,48049
TEXAS,MARCH,Thunderstorm Wind,COLEMAN,0.0,0.0,0,3,48083
TEXAS,MARCH,Thunderstorm Wind,MENARD,0.0,0.0,0,3,48327
TEXAS,MARCH,Thunderstorm Wind,TOM GREEN,0.0,0.0,0,3,48451
TEXAS,MARCH,Thunderstorm Wind,SHACKELFORD,0.0,0.0,0,3,48417
TEXAS,MARCH,Thunderstorm Wind,KIMBLE,0.0,0.0,0,3,48267
MISSOURI,MARCH,Flood,OZARK,0.0,0.023173537125539836,354,3,29153
MISSOURI,MARCH,Flood,OREGON,0.0,0.03684069913021035,351,3,29149
MISSOURI,MARCH,Flood,SHANNON,0.0,0.014218477222385308,349,3,29203
TEXAS,MARCH,Hail,DALLAS,0.0,0.0,0,3,48113
TEXAS,MARCH,Hail,DALLAS,0.0,0.0,0,3,48113
TEXAS,MARCH,Hail,DALLAS,0.0,0.0,0,3,48113
TEXAS,MARCH,Hail,KAUFMAN,0.0,0.0,0,3,48257
TEXAS,MARCH,Tornado,HOPKINS,,22.372696365843847,8,3,48223
TEXAS,MARCH,Hail,COOKE,0.0,0.0,0,3,48097
WASHINGTON,MAY,Flood,SPOKANE,0.0,0.00016056235863984062,84,5,53063
MISSISSIPPI,MARCH,Thunderstorm Wind,ATTALA,5000.0,0.0,0,3,28007
IOWA,APRIL,Hail,IDA,,0.0,17,4,19093
GEORGIA,JANUARY,Tornado,SPALDING,,27.748040934813254,8,1,13255
ARKANSAS,MAY,Flood,CLARK,0.0,0.020600638085527336,322,5,05019
MISSOURI,MAY,Flash Flood,ST. LOUIS (C),0.0,20.998490107778935,180,5,29510
TEXAS,MAY,Flood,TOM GREEN,0.0,4.066483102148762e-05,0,5,48451
TEXAS,MAY,Hail,FISHER,0.0,0.0,0,5,48151
NORTH CAROLINA,JULY,Thunderstorm Wind,MOORE,0.0,0.0,0,7,37125
CALIFORNIA,MAY,Heavy Rain,NEVADA,0.0,23.25994908771371,0,5,06057
CALIFORNIA,MAY,Heavy Rain,PLUMAS,0.0,262.93805527667615,0,5,06063
CALIFORNIA,MARCH,Thunderstorm Wind,ORANGE,1000.0,0.0,60,3,06059
CALIFORNIA,MARCH,Thunderstorm Wind,ORANGE,1000.0,0.0,60,3,06059
NEBRASKA,JUNE,Hail,GARDEN,,0.0,0,6,31069
NEBRASKA,JUNE,Hail,GARDEN,,0.0,0,6,31069
NEBRASKA,JUNE,Hail,GARDEN,,0.0,0,6,31069
NEBRASKA,JUNE,Hail,MCPHERSON,,0.0,0,6,31117
NEBRASKA,JUNE,Hail,CHERRY,,0.0,0,6,31031
NEBRASKA,JUNE,Hail,CHASE,,0.0,0,6,31029
CALIFORNIA,MARCH,Thunderstorm Wind,TULARE,1000.0,0.0003449481831657124,0,3,06107
CALIFORNIA,MARCH,Flood,TULARE,1000.0,0.0018389526776229593,180,3,06107
CALIFORNIA,MARCH,Thunderstorm Wind,KINGS,6000.0,0.0,0,3,06031
CALIFORNIA,MARCH,Hail,MADERA,0.0,0.0,0,3,06039
CALIFORNIA,MARCH,Flash Flood,FRESNO,0.0,0.0012616745381688282,180,3,06019
CALIFORNIA,MARCH,Thunderstorm Wind,FRESNO,1000.0,0.0,0,3,06019
TENNESSEE,MARCH,Thunderstorm Wind,DAVIDSON,50000.0,0.0,0,3,47037
CALIFORNIA,MARCH,Flood,MERCED,0.0,0.3158881889141835,165,3,06047
CALIFORNIA,MARCH,Flood,MERCED,0.0,3.0817062349922706,779,3,06047
CALIFORNIA,MARCH,Flood,FRESNO,0.0,0.0016073453600005498,180,3,06019
CALIFORNIA,MARCH,Flood,TULARE,5000.0,0.007533387924150682,180,3,06107
CALIFORNIA,MARCH,Flood,TULARE,0.0,0.0038327427470599288,180,3,06107
CALIFORNIA,MARCH,Flood,TULARE,1000.0,0.003917633192390543,180,3,06107
CALIFORNIA,MARCH,Flood,KERN,0.0,0.28335333860776585,180,3,06029
CALIFORNIA,MARCH,Heavy Rain,MADERA,0.0,0.0,450,3,06039
CALIFORNIA,MARCH,Heavy Rain,MARIPOSA,0.0,0.0,480,3,06043
KANSAS,MAY,Tornado,WALLACE,,1.4850741060017847,6,5,20199
KANSAS,MAY,Tornado,WALLACE,,0.12620201584671994,4,5,20199
SOUTH DAKOTA,APRIL,Flood,EDMUNDS,0.0,0.0,1439,4,46045
SOUTH DAKOTA,APRIL,Flood,DAY,150000.0,0.0,1439,4,46037
OKLAHOMA,MARCH,Flash Flood,CHOCTAW,0.0,1.4669935948289277,180,3,40023
TEXAS,MARCH,Lightning,GALVESTON,25000.0,0.0,0,3,48167
MISSOURI,MARCH,Flash Flood,WAYNE,0.0,34.193367313171656,257,3,29223
MISSOURI,MARCH,Flash Flood,BOLLINGER,0.0,28.45922624548577,428,3,29017
MISSOURI,MARCH,Flood,BOLLINGER,25000.0,0.5120071922939291,1380,3,29017
ILLINOIS,MARCH,Flood,FRANKLIN,0.0,0.0,146,3,17055
ILLINOIS,MARCH,Flood,WILLIAMSON,0.0,13.03722377693753,117,3,17199
NEBRASKA,JULY,Hail,LINCOLN,0.0,0.0,0,7,31111
NEBRASKA,JULY,Hail,FRONTIER,0.0,0.0,0,7,31063
NEBRASKA,JULY,Hail,LINCOLN,0.0,0.0,0,7,31111
NEBRASKA,JULY,Hail,LINCOLN,,0.0,0,7,31111
NEBRASKA,JULY,Hail,CHASE,0.0,0.0,0,7,31029
NEBRASKA,JULY,Thunderstorm Wind,CHASE,0.0,0.0,0,7,31029
NEBRASKA,JULY,Hail,LOGAN,0.0,0.0,0,7,31113
KENTUCKY,MARCH,Flash Flood,WEBSTER,0.0,18.1686958133759,180,3,21233
KENTUCKY,MARCH,Tornado,UNION,5000.0,3.77119147503293,4,3,21225
NEBRASKA,JULY,Thunderstorm Wind,THOMAS,0.0,0.0,0,7,31171
CALIFORNIA,MARCH,Flood,STANISLAUS,0.0,0.04347647372104699,900,3,06099
TEXAS,MARCH,Thunderstorm Wind,BROWN,0.0,0.0,0,3,48049
TEXAS,MARCH,Thunderstorm Wind,TOM GREEN,0.0,0.0,0,3,48451
TEXAS,MARCH,Thunderstorm Wind,BROWN,0.0,0.0,1,3,48049
TEXAS,MARCH,Thunderstorm Wind,CALLAHAN,0.0,0.0,0,3,48059
TEXAS,MARCH,Thunderstorm Wind,MENARD,0.0,0.0,0,3,48327
MISSOURI,MARCH,Flood,TANEY,0.0,0.039282120535599915,450,3,29213
MISSOURI,MARCH,Flood,SHANNON,0.0,0.16047832321836386,343,3,29203
MISSOURI,MARCH,Flood,TEXAS,0.0,0.1831453203336455,341,3,29215
MISSOURI,MARCH,Flood,BARRY,0.0,0.06216788667762544,399,3,29009
TEXAS,MARCH,Hail,WISE,0.0,0.0,0,3,48497
TEXAS,MARCH,Hail,WISE,0.0,0.0,0,3,48497
TEXAS,MARCH,Hail,COOKE,0.0,0.0,0,3,48097
TEXAS,MARCH,Hail,COOKE,0.0,0.0,0,3,48097
TEXAS,MARCH,Hail,GRAYSON,0.0,0.0,0,3,48181
TEXAS,MARCH,Hail,DENTON,0.0,0.0,0,3,48121
GEORGIA,JANUARY,Tornado,TROUP,,47.37143136033985,9,1,13285
GEORGIA,JANUARY,Tornado,SPALDING,,0.030517886452813118,1,1,13255
GEORGIA,JANUARY,Tornado,MERIWETHER,,11.817662334591615,4,1,13199
GEORGIA,JANUARY,Tornado,MERIWETHER,,165.14929604178266,31,1,13199
IOWA,APRIL,Hail,PLYMOUTH,,0.0,5,4,19149
IOWA,APRIL,Hail,PLYMOUTH,,0.0,2,4,19149
IOWA,APRIL,Hail,PLYMOUTH,,0.0,2,4,19149
GEORGIA,JANUARY,Tornado,BUTTS,,84.09355523170987,16,1,13035
ARKANSAS,MAY,Flood,CALHOUN,0.0,1.7905076577770218,135,5,05013
ARKANSAS,MAY,Flood,WOODRUFF,0.0,0.033151036287043426,522,5,05147
WASHINGTON,MAY,Hail,PEND OREILLE,0.0,0.0,10,5,53051
WASHINGTON,MAY,Hail,CHELAN,0.0,0.0,14,5,53007
WASHINGTON,MAY,Flood,PEND OREILLE,500.0,0.0001886709517063353,60,5,53051
OHIO,MARCH,Thunderstorm Wind,JACKSON,0.0,0.0,0,3,39079
