TEMPERATURE_F,ANOMALY,MONTH,FIPS
53.3,4.6,1,13103
48.6,6.6,1,13105
51.8,4.4,1,13107
53.0,3.7,1,13109
43.6,6.1,1,13111
50.4,7.5,1,13113
48.4,7.4,1,13115
46.8,6.2,1,13117
47.6,5.6,1,13119
49.2,7.7,1,13121
44.6,6.4,1,13123
50.2,5.0,1,13125
55.5,3.7,1,13127
47.4,6.9,1,13129
55.8,5.1,1,13131
49.8,6.3,1,13133
48.3,6.9,1,13135
46.0,5.4,1,13137
47.2,6.1,1,13139
50.5,5.8,1,13141
48.9,8.1,1,13143
50.5,5.5,1,13145
47.6,5.9,1,13147
50.0,7.4,1,13149
50.4,7.2,1,13151
52.1,5.6,1,13153
52.8,4.2,1,13155
48.4,6.4,1,13157
50.7,7.3,1,13159
53.4,4.4,1,13161
50.4,4.6,1,13163
51.7,5.1,1,13165
51.6,4.7,1,13167
51.4,6.6,1,13169
50.9,6.7,1,13171
53.9,3.5,1,13173
51.8,4.4,1,13175
53.9,5.6,1,13177
53.1,2.6,1,13179
49.6,6.0,1,13181
53.1,2.5,1,13183
53.9,3.1,1,13185
45.2,6.1,1,13187
49.9,5.5,1,13189
54.3,3.0,1,13191
52.3,5.9,1,13193
48.4,6.5,1,13195
52.1,5.7,1,13197
50.4,6.5,1,13199
55.0,4.9,1,13201
54.8,4.9,1,13205
51.0,6.5,1,13207
52.6,4.3,1,13209
49.9,6.9,1,13211
46.4,6.9,1,13213
51.6,5.1,1,13215
50.0,7.2,1,13217
49.0,6.4,1,13219
48.9,6.5,1,13221
48.7,7.8,1,13223
51.8,5.8,1,13225
46.0,6.4,1,13227
54.6,4.0,1,13229
50.8,6.7,1,13231
49.3,8.2,1,13233
52.3,5.2,1,13235
50.9,6.9,1,13237
52.6,4.7,1,13239
43.8,5.1,1,13241
53.2,5.1,1,13243
51.0,5.3,1,13245
49.8,7.3,1,13247
52.6,6.0,1,13249
51.9,4.8,1,13251
55.7,5.1,1,13253
50.9,7.0,1,13255
46.8,4.8,1,13257
52.6,5.4,1,13259
53.5,6.2,1,13261
50.7,5.5,1,13263
49.6,6.0,1,13265
53.3,3.7,1,13267
51.5,5.7,1,13269
52.6,4.2,1,13271
53.8,5.6,1,13273
55.3,4.6,1,13275
52.5,3.7,1,13277
53.0,4.1,1,13279
43.4,5.9,1,13281
52.1,4.3,1,13283
50.1,6.4,1,13285
52.6,4.6,1,13287
51.9,5.5,1,13289
43.6,6.1,1,13291
50.8,6.0,1,13293
47.1,7.7,1,13295
49.0,6.7,1,13297
55.3,4.2,1,13299
49.8,5.4,1,13301
51.2,5.1,1,13303
53.7,3.1,1,13305
53.2,6.0,1,13307
52.4,4.1,1,13309
45.5,5.9,1,13311
47.2,7.4,1,13313
52.5,4.9,1,13315
49.3,6.3,1,13317
51.8,5.4,1,13319
