FIPS,MEDIAN_INCOME
18055,59753
18057,117957
18059,91326
18061,72468
18063,99988
18065,60144
18067,62496
18069,62734
18071,70208
18073,79634
18075,54114
18077,59987
18079,68476
18081,87227
18083,58863
18085,73922
18087,83741
18089,68985
18091,70452
18093,65551
18095,62632
18097,63450
18099,68041
18101,65345
18103,61130
18105,63372
18107,66571
18109,79088
18111,68596
18113,70908
18115,67942
18117,64758
18119,59586
18121,66776
18123,61099
18125,66250
18127,85828
18129,79124
18131,59956
18133,76182
18135,61121
18137,71084
18139,64393
18141,64885
18143,54583
18145,71301
18147,70890
18149,62933
18151,71483
18153,54985
18155,65148
18157,58622
18159,78309
18161,79500
18163,60938
18165,59363
18167,52525
18169,68414
18171,74635
18173,95027
18175,61358
18177,56652
18179,69741
18181,66143
18183,75790
19001,66176
19003,68828
19005,66000
19007,51146
19009,54152
19011,84742
19013,64581
19015,79741
19017,83343
19019,78430
19021,66564
19023,69651
19025,66875
19027,68528
19029,61657
19031,79080
19033,65537
19035,64478
19037,73421
19039,66821
19041,64082
19043,62326
19045,65177
19047,65039
19049,102349
19051,79505
19053,57146
19055,76205
19057,60662
19059,74570
19061,75919
19063,65181
19065,58764
19067,64500
19069,63648
19071,73750
19073,59159
19075,83617
19077,79981
19079,71750
19081,70212
19083,64906
19085,77027
19087,64604
19089,67336
19091,66994
19093,62841
19095,72185
19097,71605
19099,70128
19101,56824
19103,74721
19105,73071
19107,60856
19109,65656
19111,59803
19113,76421
19115,80223
19117,67921
19119,72881
19121,89542
19123,69019
19125,78059
19127,72785
19129,87810
19131,68704
19133,62944
19135,72518
19137,63190
19139,69512
19141,68216
19143,69138
19145,57752
19147,68963
19149,81600
19151,63423
19153,81621
19155,71446
19157,64837
19159,69821
19161,70991
19163,76363
19165,67690
19167,84736
19169,69006
19171,67955
19173,67279
19175,56813
19177,60183
19179,60034
19181,92990
19183,71339
19185,59118
19187,68054
19189,63719
19191,75652
19193,70147
19195,76875
19197,64033
20001,57618
20003,64925
20005,62164
20007,57615
20009,56733
20011,67555
20013,58886
20015,80375
20017,54518
20019,54592
20021,58274
20023,55765
20025,65515
20027,63136
20029,57333
20031,67377
20033,49417
20035,58263
20037,50311
20039,52030
20041,67982
20043,72833
20045,68756
20047,53792
20049,56087
20051,59889
20053,66792
20055,72437
20057,70495
20059,72142
20061,57344
20063,63203
20065,52909
20067,72484
20069,77885
20071,78819
20073,58276
20075,61929
20077,55417
20079,73269
20081,69138
20083,63125
20085,72703
20087,77393
20089,52344
20091,107261
20093,74135
20095,59819
20097,73214
20099,55439
20101,53042
20103,86906
20105,53546
20107,59200
20109,71389
20111,59078
20113,77701
20115,63438
20117,70828
20119,74868
20121,88000
20123,58233
20125,53242
20127,56716
20129,65625
20131,77375
20133,55704
20135,66107
20137,50305
20139,70216
20141,59408
20143,76755
20145,63625
20147,61235
20149,87694
20151,64348
20153,65000
20155,60498
20157,53611
20159,63947
20161,59560
20163,61596
20165,60288
20167,53902
20169,63316
20171,67788
20173,67675
20175,62269
20177,66043
20179,70000
20181,64444
20183,57024
20185,63786
20187,70361
20189,61909
20191,60348
20193,73575
20195,73375
20197,70536
20199,60263
20201,62452
20203,71282
20205,57056
20207,48152
20209,60582
21001,50316
21003,59029
21005,71747
21007,64740
21009,49171
21011,54128
21013,32403
21015,94752
21017,56322
21019,60659
21021,61635
21023,59521
21025,41101
21027,53673
21029,77640
21031,52003
21033,57618
21035,51854
21037,77271
21039,62019
21041,57753
21043,50389
21045,41689
21047,54190
21049,67824
21051,39607
21053,42168
21055,47003
21057,39662
21059,65323
21061,54512
21063,40074
21065,43905
21067,67631
21069,49663
21071,41582
21073,66470
21075,36834
21077,62247
21079,62572
21081,67940
21083,50576
21085,49893
21087,41087
21089,59613
21091,66836
21093,67608
21095,37198
21097,63205
21099,49653
21101,58239
21103,60736
21105,63750
21107,57610
21109,41410
21111,67849
21113,74886
21115,43014
21117,79421
21119,37736
21121,33153
21123,67770
21125,56999
21127,45584
21129,34182
21131,40176
21133,40501
21135,41632
21137,50862
21139,59713
21141,61535
21143,64464
21145,62385
21147,37355
21149,70549
21151,62407
21153,33632
21155,55404
21157,63611
21159,46185
21161,51473
21163,70163
21165,44672
21167,63115
21169,48572
21171,49430
21173,57468
21175,47493
21177,52672
21179,67888
21181,53616
21183,54369
21185,121491
21187,59706
21189,31064
21191,66601
21193,45261
21195,42179
21197,39811
21199,50943
21201,52337
21203,48367
21205,53657
21207,50520
21209,83660
21211,82671
21213,57392
21215,98333
21217,61871
21219,57759
21221,54630
21223,67813
21225,60989
21227,64801
21229,59762
21231,41933
21233,58786
21235,41719
21237,29052
21239,80006
22001,45266
22003,51138
22005,92266
22007,52546
22009,39439
22011,64995
22013,34992
22015,66336
22017,50067
22019,67849
22021,44957
22023,72500
22025,47753
22027,31784
22029,37349
22031,46077
22033,63075
22035,28321
22037,72899
22039,42273
22041,44103
22043,61112
22045,57811
22047,57459
22049,43345
22051,65246
22053,56500
22055,67660
22057,63439
22059,67077
22061,38035
22063,78617
22065,37267
22067,36981
22069,46798
22071,55339
22073,51241
22075,82874
22077,59351
22079,55946
22081,44539
22083,52960
22085,52047
22087,57638
